,Title,Description,Keywords,Categories,Stakeholders,Importance,Methdologies,Timeframes,Program,Miscellaneous,Author,History
23,Reconciling Discrepancies between Documented and Actual Locations of Pipeline Networks,"Municipal water systems can be major beneficiaries of Digital Water Services: a combination of source monitoring, production and quality management, leak detection, water balance and network monitoring/modeling and process control. In order to be able to deploy these services at large scale and low cost, the first step is to create a digital representation of the pipeline network. However, documentation of pipeline networks are not always kept up-to-date, or sufficiently precise, therefore, said documentation must be validated or corrected by physical, on-site measurement and documentation.

Largely a manual process of measurement and photographic documentation, this first step represents significant time and human resource investment and is prone to errors. Head-mounted AR displays equipped with camera systems, SLAM (TOFL/LiDAR) and GPS sensors could speed up the process of documenting pipeline networks by performing volumetric capture of the exposed water network assets and interpolating the underground portions. Using the latest camera technologies on AR devices can validate geographic and dimensional data while eliminating or reducing errors.

This research explores the use of AR devices mounted with different camera and SLAM sensory systems using manual measurements as a baseline. The focus is not on end users but on the rapid and accurate capture of data about existing infrastructure.

","volumetric capture, utility asset management, digital water services, predictive water sources management, water supply, water treatment, well stimulation, well testing","Industries, Technology, Use Cases","This research will be valuable to the operators of municipal water systems, waste management systems and the IT managers, field work force, and partners performing maintenance and repairs of utilities infrastructure.","- Some AREA members build, operate and manage large public and private infrastructure for clean and waste water.
- Systemic loss in water networks ranges from 20-90% (globally). Improving the digital representation of these systems with accurate and automatic measurement technologies will reduce costs of measurement and over time, resource loss, and create a more sustainable water management system.","Initial lab testing of various volumetric capture solutions will evaluate candidate solutions, followed by in-field test comparing said solutions with physical ground truth. This will be supported by test of various data extraction methodologies.",Medium,"Leakage and issues with obstructed pipes are not unique to water utilities. The research techniques developed for this topic can be adapted for use in other types of utilities and industries where resources are sent using linear assets and infrastructure. The research platform could be commercialized into products or services to increase safety, reduce waste and optimize operations of infrastructure.","In October 2019, research about an subset of this topic https://www.researchgate.net/publication/336238139_DEVELOPMENT_OF_AUGMENTED_REALITY_PIPELINE_VISUALISER_ARPV_APPLICATION_FOR_VISUALISING_UNDERGROUND_WATER_PIPELINE[has been published in the International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences].","Peter Orban, Christine Perey",2021-08-31
24,Visualizing Water Flow and Quality in Municipal Water Networks,"Most municipal water supply pipe networks require a manual operation of various control units in case of scheduled maintenance or an emergency. Crews operating gate valves to isolate sections of the network greatly benefit from updated information on the flow and quality of the water in these sections.

This research topic includes a field test of handheld or wearable devices to aid technicians in the field to visualize water flow and water quality data received from the control center. The user's device also could be connected to the control room, or substations, where there are multiple water pipes and sensor stations to view. The scope of the research could include the visualization of interfaces for gate valves and other equipment in the field.

","Data visualization, decision support, utility asset management, digital water services,, water supply, water treatment, well stimulation, well testing","Industries, Technology, Use Cases","This research will be valuable to the operators of municipal or regional water systems, waste management systems and the IT managers, field work force, and partners performing maintenance and repairs of utilities infrastructure.","- Some AREA members build, operate and manage large public and private infrastructure for clean and waste water. Systemic loss in water networks ranges from 20-90% (globally).
- Improving the digital representation of these systems with accurate and automatic measurement technologies will reduce loss and create a more sustainable water management system.","To model and visualize the behavior of liquid inside the pipeline, computational fluid dynamic simulations will be employed. Using areas that have reliable, manually measured flow parameters, the AR-enabled prototype system will be tested in the field. Various data extraction methodologies are used to compare the AR-assisted platforms with ground truth.",Medium,"Leakage and issues with obstructed pipes are not unique to utilities. The research techniques developed for this topic can be adapted for use in other industries where resources are sent using linear assets and infrastructure. The research platform could be commercialized into products or services to increase safety, reduce waste and optimize operations of infrastructure.",None,"Peter Orban, Christine Perey",2021-08-31
25,Using 3D and World Mapping Standards to Streamline AR Experience Production,"Creating AR experiences using existing authoring environments is a time-consuming process even for highly-trained developers. One of the greatest hurdles is the specification of real world features to which AR assets are attached/anchored. An alternative to manually defining anchors for AR assets is to adapt the outputs of real world 3D capture systems used in enterprises to be used as anchors for AR.

New interfaces and data encodings for 3D capture systems to make those systems directly accessible in an AR authoring pipeline will streamline or automate the preparation of AR experiences based in part on 3D capture of enterprise environments. However, there are many different 3D capture systems. This research topic focuses on development of guidelines and/or standards that will define the formats for 3D real world mapping which can be used by commercial AR authoring platform developers and publishers.

","3D world capture, depth sensing, liDAR, AR experience authoring, AR assets, anchoring, world mapping, SLAM, simultaneous localization and mapping, standards, data preparation, object-oriented programming, open systems, authoring systems, shape recognition, feature extraction, 3d modeling","Standards, Technology","This research is relevant to AR experience developers, AR managers, AR authoring platform publishing companies, AR service providers,","- This research will provide AREA members and their technology providers insights into how standards used in real world capture may streamline AR authoring pipelines.
- If AR authoring can be semi or fully-automated this will reduce costs, time and errors that are inherent when humans are required to custom engineer AR experiences.","Requirements for this approach for authoring AR experiences will be compared with existing and new standards and/or extensions of existing standards to automate AR authoring. The gaps and requirements will more easily be provided to appropriate standards development organizations for future work. If and when new interfaces and standards are published, enterprise AR authoring software vendors will be able to use these to streamline the AR authoring pipelines in industry.",Near,"This topic could be combined with other topics to increase efficiencies in AR asset and experience authoring, management and delivery to reduce time and costs of integration with existing authoring and data management systems and platforms.",This topic was submitted for 8th and 9th AREA research projects and received high support.,Christine Perey,2021-08-31
26,Automated Alert to Dangerous Workplace Conditions,"Many industries require that employees work in high risk environments. For this reason, employees are certified in advance of performing tasks and follow very strict protocols. When sensors on a device or during a work flow detect that a high risk or dangerous setting or task is imminent, there needs to be an automatically-displayed alert. Research that increases the reliability of automatic risk assessment based on situational awareness from employee-worn sensors, regardless of the technology provider, and produces a consistent and clear response regardless of the AR device model, mode or connection state would provide value to those working in high risk industries.

This research topic will extend the user experiences that are currently provided on smartphones in the workplace. It will also need to clarify when and how existing alert systems prioritize the messaging to users and test usability and benefit of having the alerts appear in AR view.

","safety, risk, automated alert, standards, situational awareness, sensors for risk detection, artificial intelligence, health risks, occupational risks, risk assessment, risk perception, accidents, safety-critical software, occupational health, occupational safety, safety, accident prevention, disaster prevention, electrical safety, health and safety, health hazards, safety devices, safety factor, safety systems, fault detection, monitoring, system monitoring","Standards, Technology","Standards bodies, Safety officers, employees working in high risk jobs","- Saving lives and reducing risk to which employees are exposed is a high priority and represents a significant cost to operations.
- Reducing the risk through technology use brings immediate return on investments, in many industries.
- The specification of AI systems connected to AR displays for risk detection, and the sequence of triggers leading to an alert being provided to the user, is valuable regardless of the manufacturer of the sensors or AR display.","This topic requires consensus building by working with safety officers, and new approaches to create and codify use of AI (and train the AI) to detect high risk context and circumstances, and to immediately alert the AR user. The research could also study different types of alerts for different industries, their effectiveness and recommend protocols that all devices and AR-based systems could adopt.",Near,"This topic or theme of research overlaps with the topic of visualizing alerts in a timely, intuitive and meaningful way. The outcomes of this research could also be applied in many industries. It could be combined with topics pertaining to safety and human factors.",Could be an offshoot of UL8400 or BSI IST/31.,Christine Perey,2021-08-31
27,Common APIs for Tracking Libraries for Vision-based AR,"Tracking and registering the position and orientation of the user's camera in real-time is a fundamental functionality for Augmented Reality. For enterprise use cases, the environment cannot always have markers for tracking. There are vision-based tracking libraries using markers and natural feature recognition technologies available as open source libraries as well as under license from commercial sources. In the future, there will likely be many tracking libraries, each optimized for specific contexts and tasks.

When designing AR experiences, developers using existing AR authoring platforms are either forced to use the publisher's own tracking library, or, under the best of circumstances, may choose tracking libraries which will be compiled into the final experience. The developer's choice will depend on the use case requirements. However, when authoring AR experiences, the developer does not have full control or perfect knowledge (for training purposes) of all the environments and features that will be in the user camera's field of view.

As AR experiences become more complex and suitable for use in more environments and circumstances, the AR developer may need to provide (to include or offer) multiple tracking libraries, each suited to the phase of a process or the setting of the user when performing tasks.

This research topic will explore requirements of AR experiences and the attributes of common and future tracking libraries for AR and, based on use cases and requirements, develop one or more application programming interfaces that can be implemented and submitted to an appropriate organization for standardization.

","application programming interface, APIs, Tracking Library, AR Experience Software, Interoperability, Multi-Library support,, Interoperability, application programming interface (api)","Standards, Technology","Standards bodies, end users, AR experience developers, AR authoring platform publishers, AR tracking library developers, computer vision scientists and developers","- AR experience developers and the users of those are unable to specify all future use conditions. If and when conditions change in user contexts or tasks, or new vision tracking libraries are published, the process of changing libraries requires returning to the beginning of the authoring.
- The proposed research and resulting standard would make it possible for developers to switch between different libraries quickly, perhaps automatically, and with confidence that the libraries are available when needed.",The research will focus on tracking library characteristics and the authoring platforms. There will also need to be study of run-time systems for analyzing the real world features and matching the tracking library with the user contexts for the AR experiences to be provided. The research will also require working with open and consensus-based Standards Development processes.,Medium,"This research topic could be part of a program developing more ""fine tuned"" tracking libraries for specific enterprise workplaces, environments and tasks. The results would also benefit non-enterprise users who also change their needs and use cases without wanting to download new or update their AR experiences.",API development for more flexible architectures when authoring with or using vision-based tracking libraries was proposed as an AREA-directed research project topic in January 2020.,Christine Perey,2021-08-31
28,Capture and Reporting of Hazardous Incidents in Augmented Reality,"In many industries, corporate, public or industry policies require documenting the circumstances of a hazardous incident and steps taken by an individual or group to reduce or eliminate risks to equipment, employees or others. In order to comply with such policies, it is valuable to have user-worn (user perspective) recording systems automatically triggered and the observations of all sensors encrypted for secure reporting. In some circumstances, a user can self-report incidents by completing an AR-enhanced report form through gestures and auditory commands which are then uploaded and recorded, possibly disseminated to appropriate functions within the organization for corrective actions (Facilities, EHS, etc.)

Alternatively, a constant recording buffer on a user device could be implemented. This could be paired with an artificial intelligence to recognize incidents and/or corrective actions. This may automatically default to an on-premise/centralized or cloud-based management system. For there to be consistent and compliant recording and reporting, AR devices could comply with a capture trigger specification, a capture and encryption protocol and, perhaps, produce reports in standard formats that are acceptable for regulatory and compliance tracing.

This research topic contributes technical requirements and potential solutions to be submitted for standardization in one or more bodies for the purpose of reducing the complexity of integrating AR-assisted automatic incident capture into the IT infrastructure of appropriate authorities.

The topic includes definition of automatic AR-assisted or enabled capture technology types suitable for hazardous incident reporting, resolutions of and compression rates for video and audio, data types to be captured (e.g., location data, temporal parameters, identities of nearby people and other), local and remote security to comply with anti-tampering precautions, and other relevant parameters, regardless of the maker of the AR display devices used.

","Standards requirements, standard specifications, hazard management, risk management, safety management, data capture, data integration, data encryption, cybersecurity, occupational risks, risk assessment, risk perception, accidents, occupational health, occupational safety, safety, health and safety, health hazards, safety devices, safety factor, safety systems, fault detection, monitoring, system monitoring","Standards, Technology","Standards bodies, risk managers, safety managers, policy managers, AR developers, IT developers, designers and manufacturers of enterprise AR displays would benefit from there being standards developed in this domain.","- Some risk sensitive industries and companies require capturing and reporting any incidents that occur in the workplace. Having AR-assisted capture and reporting would reduce cost of compliance.
- AREA members are deploying many different models of AR display devices from numerous display manufacturers. The complexity and cost of integrating hazardous incident capture and reporting technologies with each device in the workplace is prohibitively high.
- A standard with which all devices must comply to be used in workplace settings will increase adoption of AR-assisted capture and reporting of hazardous incidents, increase compliance to policy and reduce cost of implementation of software and integration of AR with enterprise-defined or industry regulated norms.","The topic requires definition of requirements for automatic, real time, user-perspective, tamper-resistant capture technology that documents situations, user actions and other relevant parameters for compliance purposes. Requirements must then be codified into specifications following industry norms and consensus of group members.",Medium,"This research topic can be combined with industry-specific research projects such as the development of body-worn cameras by law enforcement officers. It can also be an extension to cybersecurity research, research about media encryption and standards pertaining to other methods of incident reporting.",Could be an offshoot of UL8400 or BSI IST/31,Christine Perey,2021-08-31
29,Systems Integration between PLM Systems and AR,"Significant AR experience development effort and time is dedicated to linking domain-specific data to AR engines and presentation systems. While many industries invest in AR scene development, the need is especially high in the manufacturing industry. Product Lifecycle Management (PLM) software systems curate design, manufacturing, and sustainment information related to a product system (ideally) throughout its entire lifecycle.

Leveraging such data across PLM systems for industrial AR has mainly become a platform-specific exercise. Commercial PLM software vendors provide industrial AR solutions that leverage their application programming interfaces (APIs) to help establish AR scenes. However, most large original equipment manufacturers (OEMs) operate in complex, global, and heavily distributed supply chains. In other words, in many cases, OEMs subscribe to every major commercial PLM software platform to handle the variety of data representations provided by their suppliers. This is especially important if the developers aim to truly create a digital twin of a product or production system.

This research topic will develop and test a standard data model that permits the vendor-neutral exchange of AR-critical data to produce updatable, sustainable, and maintainable AR scenes. One particular area of interest is understanding the proper handling of industrial animations.  Though AR standards provide representations for presenting animations within AR scenes, for example, they do not directly relate to product system animations stored within PLM systems. Rather than relying on a particular PLM platform's data representations, if such a data model was successfully developed, software developers would be able to exchange data across PLM software and to platform-agnostic AR engines more readily.

","standards, data interoperability, digital twin, product lifecycle management, platform-agnostic AR solutions, application programming interfaces, distributed supply chains, manufacturing, sustainment, industrial Internet of Things, IIoT, ontologies (artificial intelligence), cost engineering, knowledge engineering, information management, project management, supply chains, team working, asset management, metadata, application programming interfaces, open source software, design engineering, systems engineering, cad/cam, quality management, supply chain management, manufacturing industries, product life cycle management, standardization, interoperability","Standards, Technology, Industries","OEM manufacturers, integrated solution and software developers, CAD/CAM providers, engineering design teams, PLM software publishers","- Product design and manufacturing is the focus of many AREA customer segment members.
- Resources invested in connecting domain-specific models, such as those stored with PLM systems, to proprietary AR engines and presentation systems increase cost and the time to reaching positive RoI on AR investments in manufacturing. - If a standard data model to represent AR-related data in manufacturing for use in PLM were adopted, systems integrators would increase use of AR in their solutions and members would have lower risk and investment to re-use existing or new engineering assets in AR experience.",This research topics could focus on testing existing PLM platforms and their AR-related competencies.  Reporting on gaps bewteen the interfaces across related software tools will be a strong contribution. Existing standard data representations provide a strong starting point for investigation. Focusing on dealing with sustainment for digital twin models would cover lots of the use cases.,Near,"OEMs with complex and heavily distributed supply chains should be a center point for the project. Program managers and technical advisors in such organizations understand the issue of cumbersome technical data packages.  This research topic significantly overlaps with https://github.com/theareaorg/AREA-Research-Agenda/blob/main/AREA_Research_Agenda_2021/Categories_and_Topics/Research_Topics/SInteroperability3-digialmodels.adoc[the Digital Model Interoperability research topic]. [BB: issue with sentence grammar] There are distinct in that this research topic is specific to the manufacturing industry. The https://github.com/theareaorg/AREA-Research-Agenda/blob/main/AREA_Research_Agenda_2021/Categories_and_Topics/Research_Topics/SInteroperability3-digialmodels.adoc[Digital Model Interoperability research topic] relates more generally to 3D asset translation and can be applied to other domains, such as construction.","There exist resources to help position research efforts.  For example, the https://www.cax-if.org/[CAx Implementor Forum] provides a number of test cases. The Khronos Group is continously updating https://www.khronos.org/gltf/[glTF], the latest de-facto standard for lightweight model presentation. https://www.asme.org/topics-resources/content/y14-standards-overview[ASME Y14] is a working group that focuses on the standard presentaiton of GD&T annotations.",Bill Bernstein,2021-08-31
30,Harmonization of Standard Industrial Data with Lightweight 3D Models,"Computer-aided design (CAD) platforms provide a broad suite of tools for constructing highly precise digital three-dimensional (3D) representations of parts, assemblies, and structures. Many engineering teams and organizations adhere to a single CAD platform for formally representing geometric dimensioning and tolerancing (GD&T) requirements, optimizing design performance through detailed simulations, and developing initial process plans for manufacturing the parts. With the increasing emphasis on model-based engineering across industry, more value is embedded in these digital models every day.

To allow for native 3D models to be displayed on AR modalities, model translation is necessary into more efficient digital models.  Previous work has focused on model tessellation and decimation to make sure that the models are perceptually accurate. Inherently, there is a loss in geometry and topology precision in the translation process.  However, for most AR use cases, there is no need for such a high level of accuracy in the presentation of part and assembly geometries. These translation methods do not currently port supporting information, such as GD&T and other Product Manufacturing Information (PMI), in a platform-agnostic manner.

There is a research opportunity for leveraging existing industrial data standards that enable the exchange of part and assembly information with limited loss of information.  One particular use case of interest is dealing with engineering change management.  In theory, model-based engineering facilitates better management of engineering change, as the native CAD model serves as a reference for all product lifecycle functions and processes.  Let's consider assembly animations and their use in a AR-assisted assembly workstation.  If there is a persistent link or pipeline between the native 3D models and animation with the tessellated model to be used in XR, theoretically, the AR-assisted workstation could be agile and updatable based on upstream engineering changes.

Additional work is required in fundamental mappings between standard data representations, both from the domain perspective such as manufacturing and the AR standard community such as glTF animations.  In general, such work has been characterized as standards harmonization.

","digital enterprise, model translation, interoperability, product manufacturing information, geometric dimensioning and tolerancing, assembly animation, engineering change management, updatable AR, maintainable AR, transferrable AR, agile AR, knowledge representation, ontologies (artificial intelligence), information management, production planning, metadata, application programming interfaces, systems engineering, cad/cam, cad, computer aided design, integration, industry 4.0, 3d modeling, assembly, manufacturing data processing, product life cycle management, computer aided engineering, Interoperability, standardization, protocols","Standards, Technology, Industries","OEM manufacturers, integrated solution and software developers, CAD/CAM providers, engineering design teams","- Translations of 3D models consumes significant time and resources.
- If better tools existed for translating native models into AR-ready representations, industrial end-users would benefit directly.
- The strong design and manufacturing focus of the AREA sit at the center of this potential research area's benefits.",Existing model translators and standard data representations provide a strong starting point for investigation. Focusing on handling PMI and properly spatially anchoring them in the tessellated model would be a good choice for an initial project.,Near,"This topic would directly benefit construction and manufacturing industries.  Luckily, lots of the existing domain-specific standards cut across these two industries. Working together to develop application domain extensions for AR standards would be a good first step.  This research topic significantly overlaps with https://github.com/theareaorg/AREA-Research-Agenda/blob/main/AREA_Research_Agenda_2021/Categories_and_Topics/Research_Topics/BIntegration3-ar2plm.adoc[the AR to PLM research topic].  There are distinct in that this research topic is specific to the manufacturing industry.  The other research topic relates to developing a standard data model for ingesting PLM data, such as sustainment data for maintaining digital twins.","There exist resources to help position research efforts.  For example, the https://www.cax-if.org/[CAx Implementor Forum] provides a number of test cases. The Khronos Group is continously updating https://www.khronos.org/gltf/[glTF], the latest de-facto standard for lightweight model presentation. https://www.asme.org/topics-resources/content/y14-standards-overview[ASME Y14] is a working group that focuses on the standard presentaiton of GD&T annotations.",Bill Bernstein,2021-08-31
31,Testing Protocols for AR-assisted Human-Robot Interaction,"In terms of collaborative robotics, the widespread adoption of robots in historically manual manufacturing environments (which are subject to high product turnover, short production runs, and high variability in equipment configurations) is limited by the robots’ inability to effectively and safely integrate and interact with the existing human labor.  Instead, so-called collaborative robots are relegated to secluded operations with minimal contact with the workforce.  The robots’ inability to communicate with, understand the intention of, and establish a mutual understanding of the environment and situation with human coworkers decreases the robots’ usefulness in collaborative teams consisting of both robots and people.  This limitation is driven by both the absence of tools and protocols needed for effectively describing and measuring human-robot interactions, an incomplete collection of metrics for assessing human-robot teaming performance, and insufficient protocols for enabling more intuitive interfacing with robotic tools. These challenges are compoudned when augmented reality technologies are used at the interface between the robotics and human workers.

This research topic focuses on providing the methods, protocols, and metrics necessary to evaluate the interactive and teaming capabilities of robot systems. It uses a task-driven decomposition of manufacturing processes to assess and assure the safety and effectiveness of human-robot collaborative teams.

","robotics, human-robot interaction, human-computer interaction, remote monitoring, remote control, collaborative robots, autonomous agents, communication, computer vision, control systems, cooperative systems, grippers, human factors, human-robot interaction, industrial robots,	industry 4.0, intelligent robots, multi-robot systems, occupational safety, robotics, safety","Standards, Technology, End User and User Experience",Manufacturers will benefit from the products generated as a result from this research project.  Robotics providers can also benefit in that standard testing protocols for human-robot interaction will generate new sales tactics. End users will benefit in that the end state will be much safer in complex manufacturing environments.,"- Robotics are pervasive in manufacturing, a key area for many AREA members.
- However, safety concerns in collaborative robotics scenarios have curbed overall use.
- AR-enabled communication between humans and robots can create a much safer environment.","This collection of methods, protocols, and metrics will enable integrators and end-users to maximize the effectiveness and efficiency of collaborative human-robot teams in production processes, impacting both large-scale companies designing and repurposing hybrid manufacturing workflows, and smaller companies looking to begin introducing automated tools into manual processes.",Long,"This research topic mirrors https://www.nist.gov/programs-projects/performance-human-robot-interaction[an existing project at NIST]. Inspiration can be driven from the existing work generated by that team. Furthermore, IEEE is a leader in curating academic work in this area. Refer to https://www.ieee-ras.org/conferences-workshops[IEEE RAS] for related publication venues, including https://www.ieee-ras.org/conferences-workshops/fully-sponsored/case[IEEE CASE], https://www.ieee-ras.org/conferences-workshops/fully-sponsored/icra[IEEE ICRA], and https://www.ieee-ras.org/conferences-workshops/financially-co-sponsored/iros[IEEE IROS].","This topic requires significant hardware, middleware, and software integration. One open source framework is https://rosindustrial.org/[ROS-Industrial]",Bill Bernstein,2021-08-31
32,Trade-off and Substitution: Stereoscopic Vision for Spatial Audio,"Stereoscopic vision has long been considered the best type of visualization in terms of matching physical and simulated realities. While stereoscopic vision is the goal, producing a perfect 3D visualization and registration of AR assets is difficult using current technologies. Addressing the shortcomings of current AR displays will be prohibitively high and present a financial barrier to AR adoption in enterprises.

Leveraging advancements in Digital Signal Processing (DSP) and audiology, a new class of devices are emerging. Spatially-aware audio transducers can help determine the exact position and posture/pose of the wearer as well as generate a simulated sound field that matches the physical environment. Such systems could be combined with existing vision-centric displays for high fidelity enterprise AR experiences.

The scope of this topic includes measurement of the spatial audio technology resource requirements and impacts of combining visual cues with spatial audio on user performance. Comparative studies of human cognitive performance aided by varying blends of spatial technology ranging from “audio-only” to “video-only” and various combinations of both are also in scope.

","spatial audio, effectiveness, spatial vision, 3D audio, perception, audio signal processing, acoustic waves, active noise control","Technology, End User and User Experience, Displays","AR experience designers, developers of integrated sensor and world capture components, human factors researchers","Spatial vision is not always as practical, comfortable or affordable way to produce AR experiences that help reach use case objectives.
- If performance requirements on vision-based AR delivery can be reduced using spatial audio components or solutions, enterprises may have more options and greater flexibility when sourcing their AR experience delivery devices.
- Adopting spatial audio-based solutions may lower total resourcing needs, reducing the financial barriers of enterprise adoption.
- Spatial audio may also increase the impact of AR experiences in which there is possibility of visual AR interference or occlusion of the user's vision.","This research topic will require development of visual and audio AR experiences to be produced in a highly controlled laboratory environment within which a series of experiments can be conducted and reproduced. Studies will compare spatial audio requirements to vision-only AR experiences on the basis of accuracy, speed, battery life, bandwidth requirements, processor performance, wearer comfort and pricing. In addition to user perception assessments through surveys and interviews, methods could be expanded to include time-motion studies using standardized, public and well-documented processes typical of industry verticals, use cases and horizontal use case categories.",Medium,"This topic is at the intersection of both 3D visualization and 3D audio. The methodologies and tools developed for this research could be used in the study of perception, presence, and lead to new guidelines for AR developers and manufacturers of HMDs for enterprise AR.","In 2016, the Sound of Vision consortium, which focuses on the construction of a new prototype electronic travel aids for the blind https://www.researchgate.net/publication/304822071_Sound_of_Vision_-_Spatial_Audio_Output_and_Sonification_Approaches[published a report] about audio-assisted vision.

A peer-reviewed article http://www.aes.org/e-lib/browse.cfm?elib=15891[presenting a novel technique for reproducing coherent audio visual images for multiple users], only wearing 3D glasses and without utilizing head tracking was published in 2011 in the Journal of The Audio Engineering Society.","Peter Orban, Christine Perey",2021-08-31
33,Biometric Identification of Wearable Enterprise AR Device Users,"New AR display devices encounter significant resistance from enterprise IT teams who consider the new hardware platforms increase security threats, consequently, increasing the need for an elevated security posture.

Driven by a human-centric approach, a critical step in ensuring compliance with existing security policies and systems is to balance the security with accurate and rapid user authentication and ultra-low-friction user input.

Biometric identification methods, ranging from palm-prints, voice-prints, iris scanning, gait to heartbeat detection offer a plethora of opportunities for identification of wearable enterprise AR device users before providing access to enterprise work orders and data.

This research topic compares different modalities of biometric identification and classifies them based on accuracy, cost and ease-of-use.

","biometric, palm print, voice print, gait, retina scanning, iris scanning, heartbeat detection, skin conductivity, access control, data protection, security systems, authentication, message authentication, authorization, data security, access protocols","Displays, End User and User Experience, Technology","All stakeholder in corporate security organizations but primarily CISOs, CIOs, IT and security managers. On the vendor side, OEMs, solutions providers, system integrators and independent software vendors will be impacted by this research.","- Securing endpoints in the enterprise is a critical step in preventing compromised security of enterprise systems.
- Highly personal modalities of authentication raise legitimate authentication, human factors and privacy concerns.
- Implementing best practices reduce the negative impacts of slow and unreliable user authentication and inputs.","This research will require rigorous laboratory tests, deployed via multiple cells of different modalities. This will be followed by human factors and security research, culminating in field trials. Once baselines are available and validated, best practices can be established.",Medium,"This topic is closely related to another proposed AREA Research Agenda topic on cleaning and authenticating multi-user devices end user [ra-Tsecurity5-multiuserdisplays]. The topics could be combined with other AR security topics to develop a broader research program. In addition, the topic could be expanded to use the sensors on devices of other AR users in a workplace to confirm user identities.",The field of biometric authentication in cybersecurity is vast and there are many highly reputable research centers that could contribute to this research. Hundreds of publications appear each year in journals and proceedings. https://www.heinz.cmu.edu/~acquisti/papers/AcquistiGrossStutzman-JPC-2014.pdf[This paper describes results of studies to connect AR users with sensitive personal information derived from on-line platforms and use of these data to predict AR user interests and preferences.] In the https://dl.acm.org/doi/proceedings/10.1145/3457339[proceedings of the 7th ACM on Cyber-Physical System Security Workshop] (May 2021) https://dl.acm.org/doi/pdf/10.1145/3457339.3457983[an article compiles recently published work on this topic and describes MoveAR.] The goal of MoveAR is to distinguish between a legitimate user and potential adversaries based on the signatures detected by the on-device sensors as the user interacts with an augmented reality environment.,Peter Orban,2021-08-31
34,Authoritative Information and Source Validation in AR,"In many use cases and network architectures, data requested by and provided to an AR user for an experience is not pre-loaded on the users device. For a variety of reasons and through a range of technologies, information is streaming from the cloud or edge to the AR device in real time. The reverse is also happening. Sensors on an AR user's device are capturing the real world and can send during or after world capture salient features or any combination of data (e.g., point clouds, video, audio, etc) to a safe and high capacity storage resource in the cloud or on the edge. Users may also need to use an AR device to annotate, confirm ground truth or add information about the real world to the cloud-based databases. During data creation (annotation) or transfer, there may be opportunities for agents to insert inaccurate or false information, or for corruption.

Depending on use cases or publishers, the level of confidence about accuracy and authorship of information consumed from or added to a remote source will vary. In enterprise or industrial use cases, details about asset authenticity, ownership or conditions for use must be associated with the AR asset in metadata.

This research topic focuses on development of ontologies, protocols and/or standards to ensure and to  communicate to or between enterprise systems and users in workplaces that data delivered for use in AR experiences is from an authorized source. In parallel, the research will study or develop on-device authentication systems to validate that data which is added to a pooled (cloud-based) data repository during an AR experience (e.g. tagging information and placing information) is authoritative and the source traceable.

","data capture, data streaming, security, authentication, author, authorship, publication, ownership, remote data repositories, AR cloud, edge computing, spatial computing, access control, data protection, security systems,  authentication, message authentication, authorization, data security, access protocols",Technology,"Network operators, network managers, enterprise IT managers, AR experience publishers, AR experience authoring platforms, AR developers","- Before introducing data from remote sources to users in their networks or from users' AR devices into their data management systems, AREA member organizations must ensure that the data source is authenticated and any metadata associated with it can be used regardless of the choice of display or data architectures.
- The members need to better understand the potential risks and opportunities of introducing AR Cloud for real world capture and data delivery in enterprise networks.",The research will focus on device encoding and edge computing technologies from multiple suppliers that can support distributed AR architectures. Studies will evaluate use of encryption and authentication technologies on device for suitability in distributed computing. Laboratory-based studies in controlled environments will measure and compare different approaches to data authentication and metadata authoring.,Medium,"This research topic could be part of a program studying the potential benefits of AR Cloud and 5G networks which provide low-latency and high bandwidth connectivity between cloud, edge and AR devices. Other topics such as cloud-based rendering of 3D graphics, discovery of AR experiences and security could be combined with this topic.","There is work in the W3C, IETF, IEEE, OMG and other standards bodies on related topics that could contribute to development of best practices and standards for enterprise data management systems.",Christine Perey,2021-08-31
