Title,Author,Author affiliation,Source,Sponsor,Publisher,Volume and Issue,Pages,Issue date,Monograph title,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider,,,
An evaluation of radar metaphors for providing directional stimuli using non-verbal sound,"Cassidy, Brendan (1); Read, Janet C. (1); MacKenzie, I. Scott (2) ","(1) Child Computer Interaction Group, University of Central Lancashire, Preston, Lancashire, United Kingdom (2) Department of Computing, York University, Toronto, Canada ",Conference on Human Factors in Computing Systems - Proceedings,ACM SIGCHI,Association for Computing Machinery,,,2-May-19,CHI 2019 - Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,2019,,,,9.78145E+12,10.1145/3290605.3300289,,"2019 CHI Conference on Human Factors in Computing Systems, CHI 2019","May 4, 2019 - May 9, 2019",,"We compared four audio-based radar metaphors for providing directional stimuli to users of AR headsets. The metaphors are clock face, compass, white noise, and scale. Each metaphor, or method, signals the movement of a virtual arm in a radar sweep. In a user study, statistically significant differences were observed for accuracy and response time. Beat-based methods (clock face, compass) elicited responses biased to the left of the stimulus location, and non-beat-based methods (white noise, scale) produced responses biased to the right of the stimulus location. The beat methods were more accurate than the non-beat methods. However, the non-beat methods elicited quicker responses. We also discuss how response accuracy varies along the radar sweep between methods. These observations contribute design insights for non-verbal, non-visual directional prompting. © 2019 Copyright is held by the owner/author(s).",22,White noise,Acoustic noise - Augmented reality - Clocks - Human engineering - Radar,Accessibility - Directional prompting - Headset - Spatial audio - Visual impairment,"461.4 Ergonomics and Human Factors Engineering - 716.2 Radar Systems and Equipment - 723 Computer Software, Data Handling and Applications - 751.4 Acoustic Noise - 943.3 Special Purpose Instruments",,,"Number: EP/L027658/1, Acronym: EPSRC, Sponsor: Engineering and Physical Sciences Research Council; ",This research was part funded by UK Research Council EPSRC Grant No. EP/L027658/1. &lsquo;WE ARe ABLE: Displays and Play&rsquo;.,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
Enhancing Indoor Inertial Odometry with WiFi,"Venkatnarayan, R.H. (1); Shahzad, M. (1) ","(1) North Carolina State Univ., Raleigh, NC, United States ","Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",,"ACM, USA","v 3, n 2",47 (27 pp.),Jun-19,,,,2474-9567,,,10.1145/3328918,,,,,"Accurately measuring the distance traversed by a subject, commonly referred to as odometry, in indoor environments is of fundamental importance in many applications such as augmented and virtual reality tracking, indoor navigation, and robot route guidance. While theoretically, odometry can be performed using a simple accelerometer, practically, it is well-known that the distances measured using accelerometers suffer from large drift errors. In this paper, we propose WIO, a WiFi-assisted Inertial Odometry technique that uses WiFi signals as an auxiliary source of information to correct these drift errors. The key intuition behind WIO is that among multiple reflections of a transmitted WiFi signal arriving at the WiFi receiver, WIO first isolates one reflection and then measures the change in the length of the path of that reflection as the subject moves. By identifying the extent through which the length of the path of that reflection changes, along with the direction of motion of the subject relative to that path, WIO can estimate the distance traversed by the subject using WiFi signals. WIO then uses this distance estimate to correct the drift errors. While researchers have previously proposed to use WiFi signals to correct drift errors, prior schemes suffer from one or more of the following six limitations: they 1) do not work indoors, 2) require manual exhaustive fingerprinting, 3) are not resilient against changes in environment including human movements, 4) do not work on commodity WiFi devices, 5) require multiple access points, and/or 6) can measure distance traversed by humans but not by non-human subjects. WIO addresses all of these limitations. We implemented WIO using commodity devices, and extensively evaluated it in a wide variety of complex indoor scenarios on both human and robotic subjects. Our results demonstrate that WIO achieved an average error of just 6.28% in estimating the distances traversed by the subjects.",,,computerised instrumentation - distance measurement - radio receivers - wireless LAN,augmented reality tracking - virtual reality tracking - indoor navigation - robot route guidance - accelerometer - WiFi signal transmission - distance measurement - WIO addresses - complex indoor scenarios - robotic subjects - indoor inertial odometry - WiFi receiver devices - WiFi-assisted inertial odometry technique,A0630C Spatial variables measurement - B7320C Spatial variables measurement - B6210L Computer communications - B6250 Radio links and equipment - B7210B Computerised instrumentation - C7410H Computerised instrumentation - C5620L Local area networks,G01B - H04B1/06 - H04B7/00 - H04L12/28 - H04W - H04W84/18 - H04W84/12,Practical (PRA); Theoretical or Mathematical (THR),,,,Inspec,"Copyright 2020, The Institution of Engineering and Technology",Engineering Village,,,
Syn(es)thetic Reality: Simulating synesthesia for the non synesthetic,"Khare, Vinay (1); Fraguada, Luis Edgardo (2); Bigger, Elizabeth Esther (2) ","(1) Institute for Advanced Architecture of Catalunya, Barcelona, Spain (2) Datable Studio Barcelona, Spain ","Proceedings - International Symposium on Wearable Computers, ISWC",emteq; et al.; Facebook; Google; Huawei; Nokia Bell Labs,Association for Computing Machinery,,p 290-295,9-Sep-19,ISWC 2019 - Proceedings of the 2019 ACM International Symposium on Wearable Computers,2019,,15504816,,9.78145E+12,10.1145/3341163.3346940,,"23rd International Symposium on Wearable Computers, ISWC 2019","September 9, 2019 - September 13, 2019",,"Syn(es)thetic Reality explores a new way of sensing the world by understanding sounds through colors. It looks to simulate projective chromesthesia, an experience of seeing colors involuntarily as a result of sound input. The project achieves this through an augmented reality web application to be run on mobile phones via a wearable device. By displaying audio based color content composited over the camera feed, the user's visual perception is altered to reflect their auditory perception. The basic principle is to correlate sound frequencies to hue and amplitude to saturation and visualise these colors creatively. © 2019 Association for Computing Machinery.",5,Color,Augmented reality - Wearable computers,Chromesthesia - Google Cardboard - Mediated Reality - Mobile Technology - Synesthesia,"722.4 Digital Computers and Systems - 723 Computer Software, Data Handling and Applications - 741.1 Light/Optics",,,,,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
ASV: Accelerated Stereo Vision System [arXiv],"Yu Feng; Whatmough, P.; Yuhao Zhu ",,arXiv,,"arXiv, USA",,14 pp.,15 Nov. 2019,,,,,,,,,,,,"Estimating depth from stereo vision cameras, i.e., 'depth from stereo', is critical to emerging intelligent applications deployed in energy- and performance-constrained devices, such as augmented reality headsets and mobile autonomous robots. While existing stereo vision systems make trade-offs between accuracy, performance and energy-efficiency, we describe ASV, an accelerated stereo vision system that simultaneously improves both performance and energy-efficiency while achieving high accuracy. The key to ASV is to exploit unique characteristics inherent to stereo vision, and apply stereo-specific optimizations, both algorithmically and computationally. We make two contributions. Firstly, we propose a new stereo algorithm, invariant-based stereo matching (ISM), that achieves significant speedup while retaining high accuracy. The algorithm combines classic 'hand-crafted' stereo algorithms with recent developments in Deep Neural Networks (DNNs), by leveraging the correspondence invariant unique to stereo vision systems. Secondly, we observe that the bottleneck of the ISM algorithm is the DNN inference, and in particular the deconvolution operations that introduce massive compute-inefficiencies. We propose a set of software optimizations that mitigate these inefficiencies. We show that with less than 0.5% hardware area overhead, these algorithmic and computational optimizations can be effectively integrated within a conventional DNN accelerator. Overall, ASV achieves 5x speedup and 85% energy saving with 0.02% accuracy loss compared to today DNN-based stereo vision systems. [In Proceedings of the 52nd Annual IEEE/ACM International Symposium on Microarchitecture (MICRO '52). ACM, New York, NY, USA, 643-656 (2019) doi:10.1145/3352460.3358253].",78,,cameras - image matching - neural nets - optimisation - stereo image processing,software optimizations - deconvolution operations - deep neural networks - mobile autonomous robots - augmented reality headsets - energy-constrained devices - stereo-specific optimizations - energy-efficiency - performance-constrained devices - stereo vision cameras - accelerated stereo vision system - DNN-based stereo vision systems - ASV - computational optimizations - algorithmic optimizations - ISM algorithm - stereo algorithm - invariant-based stereo matching,B6135E Image recognition - B0260 Optimisation techniques - C5260B Computer vision and image processing techniques - C5290 Neural computing techniques - C1180 Optimisation techniques,G03B17/00 - G03B19/00 - G06T - H04N13/00,Practical (PRA); Theoretical or Mathematical (THR),,,,Inspec,"Copyright 2020, The Institution of Engineering and Technology",Engineering Village,,,
Lost in style: Gaze-driven Adaptive Aid for VR Navigation,"Alghofaili, Rawan (1); Sawahata, Yasuhito (2); Huang, Haikun (3); Wang, Hsueh-Cheng (4); Shiratori, Takaaki (5); Yu, Lap-Fai (1) ","(1) George Mason University, Fairfax; VA, United States (2) Japan Broadcasting Corporation, Setagaya, Tokyo, Japan (3) University of Massachusetts-Boston, Boston; MA, United States (4) National Chiao Tung University, Hsinchu, Taiwan (5) Facebook Reality Labs, Pittsburgh; PA, United States ",Conference on Human Factors in Computing Systems - Proceedings,ACM SIGCHI,Association for Computing Machinery,,,2-May-19,CHI 2019 - Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,2019,,,,9.78145E+12,10.1145/3290605.3300578,,"2019 CHI Conference on Human Factors in Computing Systems, CHI 2019","May 4, 2019 - May 9, 2019",,"A key challenge for virtual reality level designers is striking a balance between maintaining the immersiveness of VR and providing users with on-screen aids after designing a virtual experience. These aids are often necessary for wayfnding in virtual environments with complex paths. We introduce a novel adaptive aid that maintains the effectiveness of traditional aids, while equipping designers and users with the controls of how often help is displayed. Our adaptive aid uses gaze patterns in predicting user’s need for navigation aid in VR and displays mini-maps or arrows accordingly. Using a dataset of gaze angle sequences of users navigating a VR environment and markers of when users requested aid, we trained an LSTM to classify user’s gaze sequences as needing navigation help and display an aid. We validated the efcacy of the adaptive aid for wayfnding compared to other commonly-used wayfnding aids. © 2019 Association for Computing Machinery.",32,Eye tracking,Classification (of information) - Human engineering - Navigation - Virtual reality,Games/Play - Gaze angles - Immersiveness - Navigation aids - Virtual/Augmented reality,"461.4 Ergonomics and Human Factors Engineering - 716.1 Information Theory and Signal Processing - 723 Computer Software, Data Handling and Applications",,,"Number: 1565978, Acronym: NSF, Sponsor: National Science Foundation; ",We thank Kristen Laird for her help in conducting the user studies. This research is supported by the National Science Foundation under award number 1565978. We are grateful to the anonymous reviewers for their constructive comments.,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
Direct finger manipulation of 3D object image with ultrasound haptic feedback,"Matsubayashi, Atsushi (1); Makino, Yasutoshi (2); Shinoda, Hiroyuki (2) ","(1) University of Tokyo, Bunkyo-ku, Tokyo, Japan (2) University of Tokyo, Kashiwa-shi, Chiba, Japan ",Conference on Human Factors in Computing Systems - Proceedings,ACM SIGCHI,Association for Computing Machinery,,,2-May-19,CHI 2019 - Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,2019,,,,9.78145E+12,10.1145/3290605.3300317,,"2019 CHI Conference on Human Factors in Computing Systems, CHI 2019","May 4, 2019 - May 9, 2019",,"In this study, we prototype and examine a system that allows a user to manipulate a 3D virtual object with multiple fingers without wearing any device. An autostereoscopic display produces a 3D image and a depth sensor measures the movement of the fingers. When a user touches a virtual object, haptic feedback is provided by ultrasound phased arrays. By estimating the cross section of the finger in contact with the virtual object and by creating a force pattern around it, it is possible for the user to recognize the position of the surface relative to the finger. To evaluate our system, we conducted two experiments to show that the proposed feedback method is effective in recognizing the object surface and thereby enables the user to grasp the object quickly without seeing it. © 2019 Copyright held by the owner/author(s).",33,Feedback,Display devices - Human engineering - Stereo image processing - Ultrasonics,Auto-stereoscopic display - Finger manipulation - Haptic feedbacks - Object surface - Touch/Haptic/Pointing/Gesture - Ultrasound phased arrays - Virtual objects - Virtual/Augmented reality,461.4 Ergonomics and Human Factors Engineering - 722.2 Computer Peripheral Equipment - 723.2 Data Processing and Image Processing - 731.1 Control Systems - 753.1 Ultrasonic Waves,,,"Number: 16H06303, Acronym: JSPS, Sponsor: Japan Society for the Promotion of Science; Number: JPMJCR18A2, Acronym: JST, Sponsor: Japan Science and Technology Corporation; ",The authors would like to thank Professor Hideki Kakeya for lending the stereoscopic display used in the research. This work is supported in part by the JSPS Grant-in-Aid for Scientific Research 16H06303 and JST CREST JPMJCR18A2.,Open Access,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
Multi-tier caching analysis in CDN-based over-the-top video streaming systems,"Al-Abbasi, A.O. (1); Aggarwal, V. (1); Moo-Ryong Ra (2) ","(1) Sch. of IE, Purdue Univ., West Lafayette, IN, United States (2) Cloud Platform Software Res. Dept., AT&T Labs. Res., Bedminster, NJ, United States ",IEEE/ACM Transactions on Networking,,"IEEE, USA","v 27, n 2",835-47,Apr-19,,,,1063-6692,,,10.1109/TNET.2019.2900434,,,,,"Internet video traffic has been rapidly increasing and is further expected to increase with the emerging 5G applications, such as higher definition videos, the IoT, and augmented/virtual reality applications. As end users consume video in massive amounts and in an increasing number of ways, the content distribution network (CDN) should be efficiently managed to improve the system efficiency. The streaming service can include multiple caching tiers, at the distributed servers and the edge routers, and efficient content management at these locations affects the quality of experience (QoE) of the end users. In this paper, we propose a model for video streaming systems, typically composed of a centralized origin server, several CDN sites, and edge-caches located closer to the end user. We comprehensively consider different systems design factors, including the limited caching space at the CDN sites, allocation of CDN for a video request, choice of different ports (or paths) from the CDN and the central storage, bandwidth allocation, the edge-cache capacity, and the caching policy. We focus on minimizing a performance metric, stall duration tail probability (SDTP), and present a novel and efficient algorithm accounting for the multiple design flexibilities. The theoretical bounds with respect to the SDTP metric are also analyzed and presented. The implementation of a virtualized cloud system managed by Openstack demonstrates that the proposed algorithms can significantly improve the SDTP metric compared with the baseline strategies.",46,,5G mobile communication - augmented reality - bandwidth allocation - cache storage - client-server systems - cloud computing - content management - telecommunication network routing - video streaming,augmented-virtual reality applications - systems design factors - CDN-based over-the-top video streaming systems - novel accounting - caching policy - edge-cache capacity - video request - caching space - CDN sites - centralized origin server - efficient content management - edge routers - distributed servers - multiple caching tiers - streaming service - system efficiency - content distribution network - end user - higher definition videos - emerging 5G applications - internet video traffic - multitier caching analysis - virtualized cloud system - efficient algorithm accounting,"B6430G Video on demand and video servers - B6150P Communication network design, planning and routing - B6210R Multimedia communications - B6250F Mobile radio systems - B6210L Computer communications - C5620W Other computer networks - C6190J Internet software - C6120 File organisation - C6130V Virtual reality",H04N - G06F9/44 - G06F12/00 - H04B7/00 - H04B7/26 - H04L12/28 - H04W - H04W16/00 - H04W40/00,Practical (PRA); Theoretical or Mathematical (THR),,,,Inspec,"Copyright 2019, The Institution of Engineering and Technology",Engineering Village,,,
Building and enhancing stereographic digital collections: working across departments to augment reality,"Ricupero, B. (1); Dalton, G. (2); Lehman, A. (1) ","(1) Digital Collections/Coe Libr., Univ. of Wyoming, Laramie, WY, United States (2) Special Collections/Coe Libr., Univ. of Wyoming, Laramie, WY, United States ",2019 ACM/IEEE Joint Conference on Digital Libraries (JCDL). Proceedings,,"IEEE Computer Society, Los Alamitos, CA, USA",,343-4,2019,,,,,,978-1-7281-1547-4,10.1109/JCDL.2019.00062,,2019 ACM/IEEE Joint Conference on Digital Libraries (JCDL),2-6 June 2019,"Champaign, IL, USA","On July 18, 2018, the University of Wyoming Librarieswere awarded a grant through the State Historical RecordsAdvisory Board (SHRAB). Funded through the National Historical Publications and Records Commission (NHPRC), the project scope includes the digitization of a multi-institutional stereoview collection, and its eventual augmentation to near 3D representation. Collection contributions will come from the William Robertson Coe Library and the Laramie Plains Museum.",6,,augmented reality - digital libraries - history - image representation - information retrieval systems - stereo image processing - Web sites,digitization - multiinstitutional stereoview collection - eventual augmentation - collection contributions - SHRAB - State Historical Records Advisory Board - Wyoming Libraries - stereographic digital collections - 3D representation - William Robertson Coe Library - Laramie Plains Museum - National Historical Publications and Records Commission,"B6135 Optical, image and video signal processing - C7820 Humanities computing - C7250R Information retrieval techniques - C5260B Computer vision and image processing techniques - C6130B Graphics techniques - C6130V Virtual reality - C7210N Information networks",G06F17/30 - G06T - H04N13/00,Practical (PRA),,,,Inspec,"Copyright 2019, The Institution of Engineering and Technology",Engineering Village,,,
'The printer is telling me about itself': Supporting the appropriation of hardware by using projection mapping,"Ludwig, Thomas (1); Döll, Michael (1); Kotthaus, Christoph (1) ","(1) University of Siegen, Siegen, Germany ",DIS 2019 - Proceedings of the 2019 ACM Designing Interactive Systems Conference,Adobe; Google; Sketch; UC San Diego's Design Lab; Virginia Tech,"Association for Computing Machinery, Inc",,p 331-344,18-Jun-19,DIS 2019 - Proceedings of the 2019 ACM Designing Interactive Systems Conference,2019,,,,9.78145E+12,10.1145/3322276.3322342,,"2019 ACM Conference on Designing Interactive Systems, DIS 2019","June 23, 2019 - June 28, 2019",,"The increasing complexity of cyber-physical systems poses special challenges for users to be able to appropriate and apply such technologies within their practice. Classic tools to support appropriation have usually taken the form of written manuals or video tutorials. However, recent research regarding appropriation infrastructures and sociable technologies has suggested that appropriation support functionality can be integrated directly into software and cyber-physical systems. The problem confronting this kind of support is the adequate visualization of the information and the provision of user interfaces that could offer the necessary basis for appropriation. Based on the example of 3D printing, we examine how projection mapping-as an innovative form of visualization-can be used as a user interface for hardware-related appropriation support. Through reflections upon the design and evaluation of a projection-based 3D-printer system, we provide insights that extend the notion of appropriation support to encompass projection mapping and that can contribute to the future development of projection-based human-machine interfaces. © 2019 Copyright is held by the owner/author(s).",74,User interfaces,3D printers - Augmented reality - Cyber Physical System - Embedded systems - Mapping - Printing presses - Three dimensional computer graphics - Visualization,3-D printing - Appropriation - Design and evaluations - Human Machine Interface - Printer systems - Recent researches - Video tutorials,"405.3 Surveying - 722.2 Computer Peripheral Equipment - 723 Computer Software, Data Handling and Applications - 745.1.1 Printing Equipment",,,,,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
Building and enhancing stereographic digitial collections: Working across departments to augment reality,"Ricupero, Bryan (1); Dalton, Glory (2); Lehman, Amanda (1) ","(1) Digital Collections/Coe Library, University of Wyoming, Laramie; WY, United States (2) Special Collections/Coe Library, University of Wyoming, Laramie; WY, United States ",Proceedings of the ACM/IEEE Joint Conference on Digital Libraries,Association for Computing Machinery (ACM); IEEE; IEEE Computer Society,Institute of Electrical and Electronics Engineers Inc.,v 2019-June,p 343-344,Jun-19,"Proceedings - 2019 ACM/IEEE Joint Conference on Digital Libraries, JCDL 2019",2019,,15525996,,9.78173E+12,10.1109/JCDL.2019.00062,8791202,"19th ACM/IEEE Joint Conference on Digital Libraries, JCDL 2019","June 2, 2019 - June 6, 2019",,"On July 18, 2018, the University of Wyoming Librarieswere awarded a grant through the State Historical RecordsAdvisory Board (SHRAB). Funded through the National Historical Publications and Records Commission (NHPRC), the project scope includes the digitization of a multi-institutional stereoview collection, and its eventual augmentation to near 3D representation. Collection contributions will come from the William Robertson Coe Library and the Laramie Plains Museum. © 2019 IEEE.",6,Digital libraries,Information systems - Open source software - Open systems,3d representations - Human-centered computing - Mixed/augmented reality - Project scope - Wyoming,"723 Computer Software, Data Handling and Applications - 723.5 Computer Applications - 903.2 Information Dissemination",,,,,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
Asthma-nauts: Apps using gameplay to collect health metrics and educate kids about asthma,"Jayaprakash, Karthika Priya (1); Stephens, Cal (2); Lesnick, Burton (3); Arriaga, Rosa I. (1) ","(1) Interactive Computing, Georgia Institute of Technology, GA, United States (2) College of Computer Science, Georgia Institute of Technology, GA, United States (3) Children's Healthcare of Atlanta, Atlanta; GA, United States ","Proceedings of the ACM Conference on Computer Supported Cooperative Work, CSCW",ACM SIGCHI; Adobe; Amazon; et al.; Facebook; IBM Research,Association for Computing Machinery,,p 226-230,9-Nov-19,CSCW 2019 Companion - Conference Companion Publication of the 2019 Computer Supported Cooperative Work and Social Computing,2019,,,,9.78145E+12,10.1145/3311957.3359483,,"22nd ACM Conference on Computer-Supported Cooperative Work and Social Computing, CSCW 2019","November 9, 2019 - November 13, 2019",,"In this paper, we propose the designs for two apps that benefit pediatric patients with asthma. We discuss the current state of the field through results from a survey of published apps related to asthma. We observed several key gaps that were unfilled and use these results to derive a set of requirements for a new app design. We describe two different designs that meet these requirements. The apps are designed to collect health metrics and educate kids aged 7-12 years through gameplay in two different contexts, at home and in hospital Emergency Departments (ED). © 2019 Copyright is held by the owner/author(s).",8,Diseases,Application programs - Augmented reality - Design - Education - Groupware - Hospitals - Interactive computer systems - mHealth - Pediatrics - Ubiquitous computing,Asthma - Gameplay - Hospital emergency departments - Lung function - Mobile applications - Pediatric patients,"461.4 Ergonomics and Human Factors Engineering - 461.6 Medicine and Pharmacology - 462.2 Hospitals, Equipment and Supplies - 722.4 Digital Computers and Systems - 723 Computer Software, Data Handling and Applications - 723.5 Computer Applications",,,,,Open Access,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
Shadower: Applying shadows to children’s outdoor interaction,"Chen, Yang (1); Lin, Yuyu (1); Liu, Lijuan (1); Yao, Cheng (1); Ying, Fangtian (2) ","(1) Zhejiang University, Hangzhou, China (2) China Academy of Art, Hangzhou, China ",UbiComp/ISWC 2019- - Adjunct Proceedings of the 2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2019 ACM International Symposium on Wearable Computers,emteq; et al.; Facebook; Google; Huawei; Nokia Bell Labs,"Association for Computing Machinery, Inc",,p 33-36,9-Sep-19,UbiComp/ISWC 2019- - Adjunct Proceedings of the 2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2019 ACM International Symposium on Wearable Computers,2019,,,,9.78145E+12,10.1145/3341162.3343843,,"2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and 2019 ACM International Symposium on Wearable Computers, UbiComp/ISWC 2019","September 9, 2019 - September 13, 2019",,"Shadows are ubiquitous in our life. Through the phenomena of shadows, we focus on a novel way which can change people’s perspectives of observing surroundings and create a natural outdoor interaction for children in their daily life. In this paper, we present a mobile AR game which uses shadows as clues with a treasure hunting game mechanism to make a connection with children and outdoor surroundings. In the field experiment at a kindergarten, children(n=6) participated in the outdoor interaction experience with Shadower. We conducted a preliminary user study with Smileyometer strategy to evaluate children’s reaction to our prototype. Qualitative results indicate that the use of shadows from the outdoor environment as AR makers have the potential to expand the approach to facilitate children’s engagement through their outdoor interaction. © 2019 Copyright held by the owner/author(s).",11,Ubiquitous computing,Augmented reality - Wearable computers,Children - Daily lives - Field experiment - Interaction experiences - Outdoor environment - Outdoor interaction - Shadow - User study,"722.4 Digital Computers and Systems - 723 Computer Software, Data Handling and Applications - 723.5 Computer Applications",,,"Number: 61332017, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; ",We appreciate all user study participants. The project is supported by the National Natural Science Foundation of China (Grant No. 61332017).,,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
The hitchhiker’s guide to the eyewear applications,"Kim, Suzi (1); Choi, Sunghee (1) ","(1) School of Computing, KAIST, Korea, Republic of ",UbiComp/ISWC 2019- - Adjunct Proceedings of the 2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2019 ACM International Symposium on Wearable Computers,emteq; et al.; Facebook; Google; Huawei; Nokia Bell Labs,"Association for Computing Machinery, Inc",,p 633-636,9-Sep-19,UbiComp/ISWC 2019- - Adjunct Proceedings of the 2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2019 ACM International Symposium on Wearable Computers,2019,,,,9.78145E+12,10.1145/3341162.3348386,,"2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and 2019 ACM International Symposium on Wearable Computers, UbiComp/ISWC 2019","September 9, 2019 - September 13, 2019",,"We have become accustomed to flat screens over a long time because flat screens are both easy to manufacture and easy to carry around. However, there is a huge gap between the 3D experiences that we see directly with our eyes and those viewed through a flat screen. This paper compares 3D experiences through eyewear and other media. Based on the strengths of eyewear, we suggest several design considerations for eyewear applications vividly conveying the actual 3D experience. © 2019 Association for Computing Machinery.",5,Ubiquitous computing,Augmented reality - Mixed reality - Screens (sizing) - Virtual reality - Wearable computers,3d experiences - Design considerations - Eyewear - Flat screens - Smart glass,"722.4 Digital Computers and Systems - 723 Computer Software, Data Handling and Applications - 723.5 Computer Applications",,,"Number: -, Acronym: MSIT, Sponsor: Ministry of Science and ICT, South Korea; Number: -, Acronym: IITP, Sponsor: Institute for Information and Communications Technology Promotion; ","This work was supported by Institute of Information & communications Technology Planning & Evaluation (IITP) grant funded by the Korea government(MSIT) (No.2019-0-01158, Development of a Framework for 3D Geometric Model Processing)",,Compendex,"Compilation and indexing terms, Copyright 2020 Elsevier Inc.",Engineering Village,,,
"Human-centered, ergonomic wearable device with computer vision augmented intelligence for VR multimodal human-smart home object interaction","Ker-Jiun Wang (1); Zheng, C.Y. (2); Zhi-Hong Mao (3) ","(1) Dept. of Bioeng., Univ. of Pittsburgh, Pittsburgh, PA, United States (2) Inf. Experience Design & Fashion, R. Coll. of Art, London, United Kingdom (3) Electr. & Comput. Eng. & Bioeng., Univ. of Pittsburgh, Pittsburgh, PA, United States ",2019 14th ACM/IEEE International Conference on Human-Robot Interaction (HRI),IEEE Robot. & Autom. Soc.,"IEEE, Piscataway, NJ, USA",,767-8,2019,,,,,,978-1-5386-8555-6,10.1109/HRI.2019.8673156,,2019 14th ACM/IEEE International Conference on Human-Robot Interaction (HRI),11-14 March 2019,"Daegu, South Korea","In the future, Human-Robot Interaction should be enabled by a compact, human-centered and ergonomic wearable device that can merge human and machine altogether seamlessly by constantly identifying each other's intentions. In this paper, we will showcase the use of an ergonomic and lightweight wearable device that can identify human's eye/facial gestures with physiological signal measurements. Since human's intentions are usually coupled with eye movements and facial expressions, through proper design of interactions using these gestures, we can let people interact with the robots or smart home objects naturally. Combined with Computer Vision object recognition algorithms, we can allow people use very simple and straightforward communication strategies to operate telepresence robot and control smart home objects remotely, totally “Hands-Free”. People can wear a VR head-mounted display and see through the robot's eyes (the remote camera attached on the robot) and interact with the smart home devices intuitively by simple facial gestures or blink of the eyes. It is tremendous beneficial for the people with motor impairment as an assistive tool. For the normal people without disabilities, they can also free their hands to do other tasks and operate the smart home devices at the same time as multimodal control strategies.",1,,augmented reality - educational robots - ergonomics - face recognition - gesture recognition - handicapped aids - helmet mounted displays - home automation - human computer interaction - human-robot interaction - interactive devices - object recognition - robot vision - telerobotics - virtual reality - wearable computers,ergonomic wearable device - computer vision augmented intelligence - human-smart home object interaction - physiological signal measurements - facial expressions - robots - telepresence robot - VR head-mounted display - smart home devices - multimodal control strategies - human-robot interaction - object recognition algorithms - smart home objects - facial gestures - computer vision,B6135E Image recognition - C3365 Automated buildings - C3390T Telerobotics - C5260B Computer vision and image processing techniques - C5540B Interactive-input devices - C6130B Graphics techniques - C6130V Virtual reality - C6180 User interfaces - C7420 Control engineering computing,G05B15/00 - G06F3/00 - G06K9/00 - G06T,Practical (PRA),,,,Inspec,"Copyright 2019, The Institution of Engineering and Technology",Engineering Village,,,
