,LowLevel,MidLevel,HighLevel,freq_low,freq_mid,freq_high
565,data privacy__,policy_,business,26,273,806
566,data protection__,security_,technology,4,97,3706
567,data reduction__,data_,technology,2,654,3706
568,data science__,data_,technology,3,654,3706
569,data storage equipment__,data_,technology,3,654,3706
570,data structures__,data_,technology,7,654,3706
571,data transfer__,networks_,technology,5,509,3706
572,data visualization__,data_,technology,285,654,3706
573,data warehouses__,data_,technology,1,654,3706
574,database management systems__,networks_,technology,3,509,3706
575,database systems__,data_,technology,6,654,3706
576,dc machinery__,industrial equipment_,industries,1,98,3116
577,dc motors__,industrial equipment_,industries,1,98,3116
578,decentralised control__,robotics_,technology,1,398,3706
579,decision making__,human factors_,end users and user experience,54,441,1397
580,decision support systems__,business performance metrics_,business,14,242,806
581,decision trees__,artificial intelligence_,technology,10,771,3706
582,decoding__,input_,technology,6,1224,3706
583,deconvolution__,computer vision_,technology,3,1005,3706
584,deep learning__,artificial intelligence_,technology,32,771,3706
585,deep neural networks__,artificial intelligence_,technology,18,771,3706
586,defects__,"inspection, safety and quality_",use cases,1,246,1287
587,deformation__,graphics_,technology,14,950,3706
588,degrees of freedom__,robotics_,technology,21,398,3706
589,delays__,human-computer interaction_,end users and user experience,2,998,1397
590,demodulation__,computer vision_,technology,2,1005,3706
591,demonstrations__,developers_,technology,1,541,3706
592,demulsification__,manufacturing_,industries,1,564,3116
593,dentistry__,medical_,industries,8,725,3116
594,depth perception__,human factors_,end users and user experience,15,441,1397
596,design engineering__,engineering_,technology,8,229,3706
597,design for manufacturability__,manufacturing_,industries,1,564,3116
598,design of experiments__,human factors_,end users and user experience,1,441,1397
595,design__,human-computer interaction_,end users and user experience,27,998,1397
599,deterioration__,chemical_,industries,1,152,3116
600,deterministic algorithms__,artificial intelligence_,technology,1,771,3706
601,developing countries__,policy_,business,2,273,806
602,dexterous manipulators__,robotics_,technology,6,398,3706
603,diagnosis__,medical_,industries,11,725,3116
604,diagnostic products__,medical_,industries,1,725,3116
605,diagnostic radiography__,medical_,industries,6,725,3116
606,die casting__,manufacturing_,industries,1,564,3116
607,dies__,manufacturing_,industries,1,564,3116
608,differential phase shift keying__,audio_,technology,1,73,3706
610,diffraction gratings__,optics_,displays,1,167,819
609,diffraction__,optics_,displays,3,167,819
611,diffractive optics__,optics_,displays,2,167,819
612,digital arithmetic__,data_,technology,1,654,3706
613,digital devices__,education_,industries,14,627,3116
614,digital elevation models__,geospatial_,technology,2,179,3706
615,digital forensics__,security_,technology,2,97,3706
616,digital libraries__,education_,industries,9,627,3116
617,digital photography__,liberal arts_,industries,4,321,3116
618,digital signal processing__,semiconductors_,technology,1,234,3706
619,digital simulation__,simulation_,use cases,10,138,1287
620,digital storage__,networks_,technology,21,509,3706
621,digital television__,display technology_,displays,3,247,819
622,digital twin__,smart cities_,use cases,2,61,1287
623,digital video broadcasting__,video_,technology,2,142,3706
624,direct broadcasting by satellite__,networks_,technology,1,509,3706
625,directed graphs__,developers_,technology,3,541,3706
626,direction-of-arrival estimation__,navigation_,use cases,2,178,1287
627,directional patterns__,telecommunication_,industries,1,912,3116
628,disaster prevention__,"inspection, safety and quality_",use cases,3,246,1287
629,disasters__,emergency response_,industries,12,34,3116
630,discrete event simulation__,simulation_,use cases,1,138,1287
631,discrete fourier transforms__,artificial intelligence_,technology,1,771,3706
632,diseases__,medical_,industries,57,725,3116
633,dispensers__,industrial equipment_,industries,1,98,3116
634,display devices__,display technology_,displays,50,247,819
635,display instrumentation__,display technology_,displays,5,247,819
636,display screens__,display technology_,displays,1,247,819
637,distance education__,education_,industries,4,627,3116
638,distance learning__,education_,industries,10,627,3116
639,distance measurement__,navigation_,use cases,19,178,1287
640,distributed computer systems__,networks_,technology,13,509,3706
641,distributed control__,data_,technology,2,654,3706
642,distributed database systems__,developers_,technology,3,541,3706
643,distributed databases__,developers_,technology,3,541,3706
644,distributed processing__,networks_,technology,15,509,3706
645,dna__,medical_,industries,1,725,3116
646,document handling__,business planning and management_,business,2,172,806
647,document image processing__,computer vision_,technology,1,1005,3706
648,domes__,collaboration_,use cases,1,146,1287
649,domestic appliances__,consumer products_,industries,2,18,3116
650,domestic safety__,"inspection, safety and quality_",use cases,1,246,1287
651,doors__,construction_,industries,2,112,3116
652,doppler effect__,input_,technology,1,1224,3706
653,dosimetry__,medical_,industries,2,725,3116
654,dram chips__,semiconductors_,technology,1,234,3706
655,drilling platforms__,power and energy_,industries,1,134,3116
656,driver circuits__,semiconductors_,technology,2,234,3706
657,driver information systems__,automotive_,industries,32,149,3116
658,drives__,human-computer interaction_,end users and user experience,1,998,1397
659,drones__,aviation and aerospace_,industries,13,121,3116
660,drops__,chemical_,industries,1,152,3116
661,dynamic programming__,developers_,technology,1,541,3706
662,dynamical systems__,simulation_,use cases,1,138,1287
663,dynamics__,computer vision_,technology,5,1005,3706
664,e-learning__,education_,industries,41,627,3116
665,ear__,medical_,industries,2,725,3116
666,earphones__,audio_,technology,1,73,3706
668,earth atmosphere__,geospatial_,technology,1,179,3706
667,earth__,geospatial_,technology,1,179,3706
669,earthquakes__,geospatial_,technology,1,179,3706
670,echo suppression__,audio_,technology,1,73,3706
671,echocardiography__,medical_,industries,1,725,3116
672,ecology__,farming and natural science_,industries,7,107,3116
673,economic analysis__,business performance metrics_,business,1,242,806
674,economic and social effects__,policy_,business,26,273,806
675,economics__,business performance metrics_,business,5,242,806
676,ecosystems__,farming and natural science_,industries,15,107,3116
677,eddy current testing__,power and energy_,industries,1,134,3116
678,edge computing__,networks_,technology,43,509,3706
679,edge detection__,computer vision_,technology,16,1005,3706
681,education computing__,education_,industries,26,627,3116
680,education__,education_,industries,28,627,3116
682,educational administrative data processing__,education_,industries,6,627,3116
683,educational aids__,education_,industries,2,627,3116
684,educational computing__,education_,industries,1,627,3116
685,educational courses__,education_,industries,63,627,3116
686,educational institutions__,education_,industries,90,627,3116
687,educational robots__,education_,industries,12,627,3116
688,educational technology__,education_,industries,23,627,3116
689,efficiency__,human-computer interaction_,end users and user experience,16,998,1397
690,eigenvalues and eigenfunctions__,engineering_,technology,2,229,3706
691,elastic constants__,chemical_,industries,2,152,3116
692,elastic deformation__,chemical_,industries,1,152,3116
693,elasticity__,engineering_,technology,3,229,3706
694,electric arc welding__,construction_,industries,1,112,3116
695,electric batteries__,device energy management_,displays,4,29,819
696,electric breakdown__,power and energy_,industries,1,134,3116
697,electric current__,power and energy_,industries,1,134,3116
698,electric distortion__,power and energy_,industries,1,134,3116
699,electric drives__,automotive_,industries,3,149,3116
700,electric field measurement__,power and energy_,industries,1,134,3116
701,electric fields__,power and energy_,industries,1,134,3116
702,electric inverters__,power and energy_,industries,1,134,3116
703,electric lines__,power and energy_,industries,1,134,3116
704,electric load management__,power and energy_,industries,1,134,3116
705,electric machine analysis computing__,industrial equipment_,industries,1,98,3116
706,electric machinery__,industrial equipment_,industries,1,98,3116
707,electric machines__,industrial equipment_,industries,1,98,3116
708,electric motors__,power and energy_,industries,1,134,3116
709,electric network analysis__,power and energy_,industries,1,134,3116
710,electric network parameters__,power and energy_,industries,1,134,3116
711,electric oil well pumping__,power and energy_,industries,1,134,3116
712,electric potential__,sensors_,technology,1,235,3706
713,electric power transmission networks__,power and energy_,industries,2,134,3116
714,electric power utilization__,power and energy_,industries,1,134,3116
715,electric relays__,input_,technology,1,1224,3706
716,electric sensing devices__,power and energy_,industries,1,134,3116
717,electric utilities__,power and energy_,industries,1,134,3116
719,electrical engineering computing__,engineering_,technology,4,229,3706
720,electrical engineering education__,education_,industries,6,627,3116
718,electrical engineering__,engineering_,technology,5,229,3706
721,electrical safety__,"inspection, safety and quality_",use cases,1,246,1287
722,electricity supply industry__,power and energy_,industries,2,134,3116
723,electro-optical devices__,input_,technology,1,1224,3706
724,electrocardiography__,medical_,industries,4,725,3116
725,electroencephalography__,medical_,industries,28,725,3116
726,electrolytes__,farming and natural science_,industries,2,107,3116
727,electromagnetic compatibility__,engineering_,technology,1,229,3706
728,electromagnetic fields__,input_,technology,3,1224,3706
729,electromagnetic forces__,input_,technology,1,1224,3706
730,electromagnetic interference__,education_,industries,2,627,3116
731,electromagnetic shielding__,engineering_,technology,1,229,3706
732,electromagnetic wave attenuation__,display technology_,displays,2,247,819
733,electromagnetic waves__,display technology_,displays,1,247,819
734,electromagnetism__,education_,industries,2,627,3116
735,electromechanical devices__,input_,technology,1,1224,3706
736,electromyography__,medical_,industries,12,725,3116
737,electron devices__,power and energy_,industries,1,134,3116
738,electron holography__,input_,technology,1,1224,3706
739,electronic commerce__,sales and marketing_,business,20,114,806
740,electronic data interchange__,manufacturing_,industries,2,564,3116
741,electronic document exchange__,business planning and management_,business,3,172,806
742,electronic engineering computing__,optics_,displays,9,167,819
743,electronic engineering education__,education_,industries,6,627,3116
744,electronic guidance systems__,navigation_,use cases,3,178,1287
745,electronic health records__,medical_,industries,2,725,3116
746,electronic medical equipment__,medical_,industries,1,725,3116
747,electronic money__,sales and marketing_,business,5,114,806
748,electronic musical instruments__,liberal arts_,industries,1,321,3116
749,electronic noses__,input_,technology,1,1224,3706
750,electronic publishing__,developers_,technology,7,541,3706
751,electronic waste__,industrial equipment_,industries,1,98,3116
752,electronics engineering__,engineering_,technology,1,229,3706
753,electronics industry__,power and energy_,industries,2,134,3116
754,electrooculography__,medical_,industries,5,725,3116
755,electrophoresis__,medical_,industries,1,725,3116
756,electrophysiology__,medical_,industries,3,725,3116
757,electrotherapeutics__,medical_,industries,1,725,3116
758,elemental semiconductors__,semiconductors_,technology,2,234,3706
759,elementary particles__,chemical_,industries,1,152,3116
760,embedded systems__,semiconductors_,technology,36,234,3706
761,embeddings__,artificial intelligence_,technology,3,771,3706
762,emergency management__,emergency response_,industries,14,34,3116
763,emergency services__,emergency response_,industries,10,34,3116
764,emergency traffic control__,emergency response_,industries,1,34,3116
765,emergency vehicles__,emergency response_,industries,1,34,3116
766,emotion recognition__,input_,technology,16,1224,3706
767,employee welfare__,human resources_,business,1,78,806
768,employment__,human resources_,business,5,78,806
769,encoding__,input_,technology,10,1224,3706
770,end effectors__,robotics_,technology,7,398,3706
771,endoscopes__,medical_,industries,4,725,3116
772,endoscopy__,medical_,industries,4,725,3116
773,energy conservation__,power and energy_,industries,9,134,3116
774,energy consumption__,power and energy_,industries,6,134,3116
775,energy efficiency__,power and energy_,industries,14,134,3116
776,energy harvesting__,power and energy_,industries,2,134,3116
778,energy management systems__,power and energy_,industries,2,134,3116
777,energy management__,power and energy_,industries,1,134,3116
779,energy utilization__,power and energy_,industries,23,134,3116
780,engineering computing__,engineering_,technology,1,229,3706
781,engineering education__,education_,industries,47,627,3116
782,engineering graphics__,graphics_,technology,1,950,3706
783,engineering information systems__,engineering_,technology,1,229,3706
784,engineering research__,engineering_,technology,2,229,3706
785,engineers__,users_,end users and user experience,2,83,1397
786,engines__,power and energy_,industries,3,134,3116
787,enterprise resource planning__,business planning and management_,business,3,172,806
789,entertainment industry__,cultural heritage_,industries,2,122,3116
788,entertainment__,liberal arts_,industries,13,321,3116
790,entropy__,video_,technology,1,142,3706
791,environmental engineering__,engineering_,technology,1,229,3706
792,environmental factors__,human factors_,end users and user experience,5,441,1397
794,environmental impact assessments__,policy_,business,1,273,806
793,environmental impact__,policy_,business,1,273,806
795,environmental management__,policy_,business,1,273,806
796,environmental monitoring__,geospatial_,technology,2,179,3706
797,environmental regulations__,policy_,business,1,273,806
798,environmental science computing__,engineering_,technology,3,229,3706
799,environmental technology__,farming and natural science_,industries,3,107,3116
800,environmental testing__,robotics_,technology,1,398,3706
801,epidemics__,medical_,industries,2,725,3116
802,equalisers__,audio_,technology,1,73,3706
803,equipment testing__,industrial equipment_,industries,3,98,3116
804,ergonomics__,human factors_,end users and user experience,27,441,1397
805,error analysis__,artificial intelligence_,technology,1,771,3706
806,error compensation__,artificial intelligence_,technology,1,771,3706
808,error correction codes__,developers_,technology,3,541,3706
807,error correction__,artificial intelligence_,technology,3,771,3706
809,error detection__,"inspection, safety and quality_",use cases,2,246,1287
810,errors__,human factors_,end users and user experience,20,441,1397
811,estimation theory__,artificial intelligence_,technology,2,771,3706
812,ethical aspects__,policy_,business,2,273,806
813,evolutionary computation__,artificial intelligence_,technology,1,771,3706
814,excavators__,construction_,industries,1,112,3116
815,exchange rates__,business planning and management_,business,1,172,806
816,exhibitions__,sales and marketing_,business,21,114,806
817,exoskeleton__,robotics_,technology,1,398,3706
818,experiments__,education_,industries,1,627,3116
819,extended kalman filters__,artificial intelligence_,technology,3,771,3706
820,extraction__,chemical_,industries,5,152,3116
821,extrapolation__,medical_,industries,1,725,3116
822,extraterrestrial atmospheres__,aviation and aerospace_,industries,1,121,3116
824,eye movements__,input_,technology,7,1224,3706
825,eye protection__,"inspection, safety and quality_",use cases,3,246,1287
826,eye tracking__,input_,technology,18,1224,3706
823,eye__,input_,technology,23,1224,3706
827,eyeglasses__,medical_,industries,1,725,3116
828,fabrication__,manufacturing_,industries,5,564,3116
829,fabrics__,manufacturing_,industries,4,564,3116
830,face recognition__,input_,technology,49,1224,3706
831,facsimile__,education_,industries,1,627,3116
832,factorization__,developers_,technology,1,541,3706
833,factory automation__,manufacturing_,industries,11,564,3116
834,fading channels__,sensors_,technology,3,235,3706
835,failure analysis__,"inspection, safety and quality_",use cases,9,246,1287
836,fans__,industrial equipment_,industries,1,98,3116
837,fast fourier transforms__,data_,technology,1,654,3706
838,fatigue__,human factors_,end users and user experience,3,441,1397
839,fault detection__,"inspection, safety and quality_",use cases,1,246,1287
840,fault diagnosis__,"inspection, safety and quality_",use cases,11,246,1287
841,fault tolerance__,"inspection, safety and quality_",use cases,1,246,1287
842,fault tolerant computer systems__,"inspection, safety and quality_",use cases,1,246,1287
843,feature extraction__,computer vision_,technology,118,1005,3706
844,feature selection__,input_,technology,3,1224,3706
846,feedback amplifiers__,audio_,technology,1,73,3706
847,feedback control__,manufacturing_,industries,3,564,3116
845,feedback__,human-computer interaction_,end users and user experience,34,998,1397
849,feedforward neural nets__,artificial intelligence_,technology,17,771,3706
848,feedforward__,sensors_,technology,1,235,3706
850,felt__,audio_,technology,1,73,3706
851,fences__,construction_,industries,1,112,3116
852,fiber optic networks__,networks_,technology,1,509,3706
853,field emission displays__,display technology_,displays,4,247,819
854,field programmable gate arrays__,developers_,technology,8,541,3706
855,file organisation__,data_,technology,2,654,3706
856,file servers__,networks_,technology,1,509,3706
857,filling__,manufacturing_,industries,1,564,3116
858,filtering theory__,artificial intelligence_,technology,5,771,3706
859,fingerprint identification__,security_,technology,1,97,3706
860,finite element analysis__,developers_,technology,4,541,3706
861,finite element method__,simulation_,use cases,1,138,1287
862,fire extinguishers__,"inspection, safety and quality_",use cases,2,246,1287
863,fire protection__,emergency response_,industries,1,34,3116
864,fires__,emergency response_,industries,6,34,3116
865,firewalls__,networks_,technology,1,509,3706
866,fish__,farming and natural science_,industries,1,107,3116
867,flames__,emergency response_,industries,1,34,3116
868,flat panel displays__,display technology_,displays,1,247,819
869,flexible electronics__,display technology_,displays,1,247,819
870,flexible manipulators__,robotics_,technology,1,398,3706
871,flexible manufacturing systems__,manufacturing_,industries,3,564,3116
872,flickering__,graphics_,technology,1,950,3706
873,flight simulators__,simulation_,use cases,1,138,1287
874,floods__,emergency response_,industries,4,34,3116
875,floors__,construction_,industries,13,112,3116
876,flow fields__,chemical_,industries,1,152,3116
877,flow graphs__,data_,technology,1,654,3706
878,flow of fluids__,chemical_,industries,1,152,3116
879,flow sensors__,sensors_,technology,1,235,3706
880,flow simulation__,simulation_,use cases,1,138,1287
881,flow visualization__,graphics_,technology,26,950,3706
882,fluidization__,chemical_,industries,1,152,3116
883,fluorescence__,input_,technology,1,1224,3706
884,focusing__,human factors_,end users and user experience,1,441,1397
886,fog computing__,networks_,technology,3,509,3706
885,fog__,networks_,technology,10,509,3706
887,food packaging__,farming and natural science_,industries,2,107,3116
888,food processing industry__,farming and natural science_,industries,3,107,3116
889,food products__,farming and natural science_,industries,14,107,3116
890,food safety__,farming and natural science_,industries,2,107,3116
891,food supply__,farming and natural science_,industries,1,107,3116
892,food technology__,farming and natural science_,industries,1,107,3116
893,force feedback__,input_,technology,15,1224,3706
894,force sensors__,sensors_,technology,3,235,3706
895,forecasting__,business planning and management_,business,10,172,806
896,forensic science__,simulation_,use cases,1,138,1287
897,forestry__,farming and natural science_,industries,5,107,3116
898,fork lift trucks__,logistics_,business,1,32,806
899,formal logic__,data_,technology,1,654,3706
900,formal specification__,standards_,standards,6,52,52
901,formal verification__,"inspection, safety and quality_",use cases,1,246,1287
902,forward error correction__,artificial intelligence_,technology,3,771,3706
903,foundries__,manufacturing_,industries,1,564,3116
904,fountains__,geospatial_,technology,1,179,3706
905,fracture__,medical_,industries,1,725,3116
906,fraud__,security_,technology,1,97,3706
907,free-space optical communication__,optics_,displays,6,167,819
908,frequency division multiple access__,telecommunication_,industries,1,912,3116
909,frequency modulation__,power and energy_,industries,1,134,3116
910,frequency response__,artificial intelligence_,technology,1,771,3706
911,fresnel diffraction__,optics_,displays,1,167,819
912,friction__,input_,technology,3,1224,3706
913,fruits__,farming and natural science_,industries,1,107,3116
914,function generators__,artificial intelligence_,technology,1,771,3706
915,functional electric stimulation__,medical_,industries,1,725,3116
916,functional materials__,manufacturing_,industries,1,564,3116
917,functional neuroimaging__,medical_,industries,1,725,3116
918,functions__,data_,technology,2,654,3706
919,furnaces__,power and energy_,industries,1,134,3116
920,furniture__,construction_,industries,6,112,3116
921,further education__,education_,industries,28,627,3116
922,fusion reactions__,construction_,industries,1,112,3116
923,fuzzy control__,artificial intelligence_,technology,2,771,3706
924,fuzzy inference__,artificial intelligence_,technology,1,771,3706
925,fuzzy logic__,artificial intelligence_,technology,3,771,3706
926,fuzzy set theory__,artificial intelligence_,technology,8,771,3706
927,fuzzy systems__,artificial intelligence_,technology,1,771,3706
928,gait analysis__,medical_,industries,13,725,3116
929,gallium compounds__,chemical_,industries,3,152,3116
930,game theory__,human resources_,business,5,78,806
931,gamification__,simulation_,use cases,1,138,1287
932,gas industry__,oil and gas_,industries,2,13,3116
933,gas sensors__,chemical_,industries,1,152,3116
934,gases__,chemical_,industries,1,152,3116
935,gaussian distribution__,computer vision_,technology,3,1005,3706
936,gaussian noise__,data_,technology,2,654,3706
937,gaussian processes__,artificial intelligence_,technology,4,771,3706
938,gaze tracking__,input_,technology,25,1224,3706
939,gears__,industrial equipment_,industries,1,98,3116
940,gene expression__,medical_,industries,1,725,3116
941,genes__,medical_,industries,2,725,3116
942,genetic algorithms__,artificial intelligence_,technology,3,771,3706
943,genetics__,medical_,industries,2,725,3116
944,geographic information systems__,geospatial_,technology,29,179,3706
945,geography__,geospatial_,technology,4,179,3706
946,geological surveys__,geospatial_,technology,1,179,3706
947,geology__,geospatial_,technology,3,179,3706
948,geomagnetic navigation__,geospatial_,technology,1,179,3706
949,geomagnetism__,geospatial_,technology,1,179,3706
950,geometrical optics__,optics_,displays,13,167,819
951,geometry__,graphics_,technology,53,950,3706
952,geomorphology__,geospatial_,technology,2,179,3706
953,geophysical image processing__,geospatial_,technology,4,179,3706
954,geophysical prospecting__,geospatial_,technology,1,179,3706
955,geophysical techniques__,geospatial_,technology,1,179,3706
956,geophysics computing__,geospatial_,technology,9,179,3706
957,geotechnical structures__,transportation_,industries,1,131,3116
958,geriatrics__,medical_,industries,24,725,3116
959,germanium compounds__,chemical_,industries,1,152,3116
960,gesture recognition__,input_,technology,136,1224,3706
961,glass__,chemical_,industries,36,152,3116
962,global optimization__,business performance metrics_,business,4,242,806
963,global positioning system__,geospatial_,technology,44,179,3706
964,global system for mobile communications__,telecommunication_,industries,2,912,3116
965,global warming__,policy_,business,1,273,806
966,glow discharges__,education_,industries,1,627,3116
967,glues__,chemical_,industries,2,152,3116
968,gluing__,manufacturing_,industries,1,564,3116
969,government data processing__,data_,technology,1,654,3706
970,government policies__,policy_,business,1,273,806
971,gradient methods__,artificial intelligence_,technology,5,771,3706
972,grammars__,standards_,standards,2,52,52
973,graph algorithms__,artificial intelligence_,technology,1,771,3706
974,graph theory__,artificial intelligence_,technology,16,771,3706
975,graphic methods__,graphics_,technology,4,950,3706
976,graphical user interfaces__,graphics_,technology,35,950,3706
977,graphics processing units__,semiconductors_,technology,28,234,3706
978,gravitation__,engineering_,technology,1,229,3706
979,greedy algorithms__,developers_,technology,3,541,3706
980,green computing__,policy_,business,8,273,806
981,greenhouses__,farming and natural science_,industries,2,107,3116
982,grinding__,manufacturing_,industries,1,564,3116
983,grippers__,human factors_,end users and user experience,2,441,1397
984,ground penetrating radar__,geospatial_,technology,3,179,3706
985,groupware__,collaboration_,use cases,89,146,1287
986,gyroscopes__,input_,technology,9,1224,3706
987,haar transforms__,data_,technology,1,654,3706
988,hand held computers__,input_,technology,1,1224,3706
989,handicapped aids__,medical_,industries,90,725,3116
990,handwriting recognition__,input_,technology,1,1224,3706
991,handwritten character recognition__,input_,technology,2,1224,3706
992,haptic interfaces__,input_,technology,86,1224,3706
993,harmonic analysis__,data_,technology,1,654,3706
994,hazardous materials__,chemical_,industries,1,152,3116
995,hazards__,"inspection, safety and quality_",use cases,4,246,1287
996,head up displays__,display technology_,displays,47,247,819
997,headlights__,automotive_,industries,1,149,3116
998,headphones__,wearables_,displays,3,492,819
1000,health and safety__,"inspection, safety and quality_",use cases,1,246,1287
1001,health care__,medical_,industries,59,725,3116
1002,health hazards__,"inspection, safety and quality_",use cases,1,246,1287
999,health__,medical_,industries,7,725,3116
1003,hearing__,human factors_,end users and user experience,10,441,1397
1004,heart__,medical_,industries,3,725,3116
1005,heat conduction__,chemical_,industries,1,152,3116
1006,helicopters__,aviation and aerospace_,industries,1,121,3116
1007,helmet mounted displays__,wearables_,displays,376,492,819
1008,hemodynamics__,medical_,industries,1,725,3116
1009,heterogeneous networks__,networks_,technology,4,509,3706
1010,heuristic algorithms__,human factors_,end users and user experience,2,441,1397
1011,hidden feature removal__,artificial intelligence_,technology,2,771,3706
1012,hidden markov models__,computer vision_,technology,5,1005,3706
1013,hierarchical systems__,data_,technology,3,654,3706
1014,high definition television__,display technology_,displays,2,247,819
1015,high definition video__,display technology_,displays,1,247,819
1016,high level languages__,standards_,standards,2,52,52
1017,high speed networks__,networks_,technology,1,509,3706
1018,high-voltage engineering__,power and energy_,industries,1,134,3116
1019,highway accidents__,transportation_,industries,1,131,3116
1020,highway administration__,transportation_,industries,1,131,3116
1021,highway planning__,transportation_,industries,1,131,3116
1022,highway traffic control__,transportation_,industries,2,131,3116
1023,histology__,medical_,industries,1,725,3116
1024,historic preservation__,cultural heritage_,industries,9,122,3116
1025,history__,liberal arts_,industries,90,321,3116
1026,holograms__,graphics_,technology,16,950,3706
1027,holographic displays__,display technology_,displays,29,247,819
1028,holographic optical elements__,optics_,displays,17,167,819
1029,holographic storage__,data_,technology,1,654,3706
1030,holography__,display technology_,displays,32,247,819
1031,home automation__,smart cities_,use cases,8,61,1287
1032,home computing__,consumer products_,industries,7,18,3116
1033,hosiery manufacture__,manufacturing_,industries,1,564,3116
1034,hospitals__,medical_,industries,7,725,3116
1035,hot rolling__,manufacturing_,industries,1,564,3116
1036,hotel industry__,cultural heritage_,industries,1,122,3116
1037,hotels__,construction_,industries,1,112,3116
1038,hough transforms__,data_,technology,2,654,3706
1039,houses__,construction_,industries,1,112,3116
1040,http__,standards_,standards,1,52,52
1041,huffman codes__,data_,technology,1,654,3706
1042,human computer interaction__,human-computer interaction_,end users and user experience,414,998,1397
1043,human engineering__,policy_,business,143,273,806
1044,human factors__,human factors_,end users and user experience,93,441,1397
1045,human resource management__,human resources_,business,4,78,806
1046,human-robot interaction__,robotics_,technology,71,398,3706
1047,humanities__,liberal arts_,industries,13,321,3116
1048,humanoid robots__,robotics_,technology,3,398,3706
1049,hvdc power transmission__,power and energy_,industries,1,134,3116
1050,hybrid electric vehicles__,automotive_,industries,2,149,3116
1051,hybrid systems__,human-computer interaction_,end users and user experience,4,998,1397
1052,hydraulic actuators__,manufacturing_,industries,1,564,3116
1053,hydraulic systems__,industrial equipment_,industries,1,98,3116
1054,hydrocarbons__,chemical_,industries,1,152,3116
1056,hypermedia markup languages__,developers_,technology,2,541,3706
1055,hypermedia__,networks_,technology,1,509,3706
1057,hypertext systems__,input_,technology,3,1224,3706
1058,hysteresis__,sensors_,technology,1,235,3706
1059,iec standards__,standards_,standards,2,52,52
1060,ieee standards__,standards_,standards,3,52,52
1061,iii-v semiconductors__,semiconductors_,technology,3,234,3706
1062,image analysis__,computer vision_,technology,2,1005,3706
1063,image annotation__,human-computer interaction_,end users and user experience,2,998,1397
1064,image capture__,computer vision_,technology,16,1005,3706
1065,image classification__,computer vision_,technology,47,1005,3706
1066,image coding__,computer vision_,technology,23,1005,3706
1067,image colour analysis__,graphics_,technology,128,950,3706
1068,image communication systems__,collaboration_,use cases,1,146,1287
1069,image compression__,computer vision_,technology,1,1005,3706
1070,image denoising__,computer vision_,technology,6,1005,3706
1071,image enhancement__,computer vision_,technology,33,1005,3706
1072,image filtering__,computer vision_,technology,12,1005,3706
1073,image fusion__,computer vision_,technology,30,1005,3706
1074,image matching__,computer vision_,technology,51,1005,3706
1075,image morphing__,graphics_,technology,1,950,3706
1076,image motion analysis__,input_,technology,77,1224,3706
1077,image processing__,computer vision_,technology,60,1005,3706
1078,image quality__,graphics_,technology,5,950,3706
1079,image recognition__,computer vision_,technology,47,1005,3706
1080,image reconstruction__,computer vision_,technology,132,1005,3706
1081,image registration__,computer vision_,technology,82,1005,3706
1082,image representation__,computer vision_,technology,33,1005,3706
1083,image resolution__,graphics_,technology,30,950,3706
1084,image restoration__,computer vision_,technology,7,1005,3706
1085,image retrieval__,computer vision_,technology,6,1005,3706
1086,image sampling__,computer vision_,technology,2,1005,3706
1087,image scanners__,input_,technology,1,1224,3706
1088,image segmentation__,computer vision_,technology,107,1005,3706
1089,image sensors__,input_,technology,73,1224,3706
1090,image sequences__,computer vision_,technology,42,1005,3706
1091,image texture__,graphics_,technology,43,950,3706
1092,image understanding__,computer vision_,technology,5,1005,3706
1093,imaging systems__,display technology_,displays,3,247,819
1094,imaging techniques__,display technology_,displays,4,247,819
1095,importance sampling__,video_,technology,1,142,3706
1096,impulse response__,sensors_,technology,1,235,3706
1097,in situ processing__,human factors_,end users and user experience,1,441,1397
1098,incandescent lamps__,internet of things_,technology,1,163,3706
1099,independent component analysis__,artificial intelligence_,technology,3,771,3706
1100,indexing__,data_,technology,2,654,3706
1101,indium compounds__,chemical_,industries,2,152,3116
1102,indoor environment__,navigation_,use cases,6,178,1287
1103,indoor navigation__,navigation_,use cases,12,178,1287
1104,indoor positioning systems__,geospatial_,technology,9,179,3706
1105,indoor radio__,input_,technology,8,1224,3706
1106,induction motors__,industrial equipment_,industries,1,98,3116
1107,inductive power transmission__,power and energy_,industries,1,134,3116
1108,industrial control__,manufacturing_,industries,1,564,3116
1109,industrial electronics__,semiconductors_,technology,1,234,3706
1110,industrial engineering__,manufacturing_,industries,5,564,3116
1111,industrial hygiene__,"inspection, safety and quality_",use cases,1,246,1287
1112,industrial informatics__,industrial equipment_,industries,2,98,3116
1113,industrial laboratories__,manufacturing_,industries,1,564,3116
1114,industrial management__,business planning and management_,business,3,172,806
1115,industrial manipulators__,robotics_,technology,14,398,3706
1116,industrial plants__,manufacturing_,industries,6,564,3116
1117,industrial psychology__,policy_,business,1,273,806
1118,industrial research__,business performance metrics_,business,8,242,806
1119,industrial robots__,robotics_,technology,23,398,3706
1120,industrial training__,training_,use cases,11,633,1287
1121,industry 4.0__,internet of things_,technology,14,163,3706
1122,inertial confinement fusion__,developers_,technology,1,541,3706
1124,inertial navigation systems__,geospatial_,technology,3,179,3706
1123,inertial navigation__,geospatial_,technology,12,179,3706
1125,inertial systems__,industrial equipment_,industries,4,98,3116
