,names,freq
1367,matrix decomposition,2
1368,matrix multiplication,2
1369,maximum entropy methods,1
1370,mean square error,2
1371,mean square error methods,4
1372,measurement,4
1373,measurement errors,1
1374,measurement uncertainty,1
1375,mechanical engineering,1
1376,mechanical engineering computing,11
1377,mechanical failure,1
1378,mechanoception,10
1379,mechatronics,3
1380,media streaming,2
1381,median filters,1
1382,medical administrative data processing,1
1383,medical applications,5
1384,medical computing,134
1385,medical control systems,1
1386,medical diagnostic computing,6
1387,medical disorders,48
1388,medical education,4
1389,medical image processing,81
1390,medical imaging,7
1391,medical informatics,3
1392,medical information systems,19
1393,medical problems,1
1394,medical robotics,35
1395,medical signal detection,1
1396,medical signal processing,32
1397,medicine,5
1398,memory architecture,2
1399,mems,2
1400,mergers and acquisitions,1
1401,merging,3
1402,mesh generation,13
1403,message authentication,6
1404,message passing,1
1405,metadata,12
1406,metal stamping,1
1407,metallurgy,1
1408,metals,2
1409,metalworking,1
1410,metalworking machines,1
1411,metamaterials,2
1412,meteorology,1
1413,mhealth,18
1414,michelson interferometers,2
1415,micro satellites,1
1416,micro-optics,1
1417,micro-optomechanical devices,1
1418,microcomputers,2
1419,microcontrollers,5
1420,microdisplays,6
1421,microelectromechanical devices,2
1422,microelectronics,1
1423,microfabrication,1
1424,microlenses,3
1425,micromechanical devices,1
1426,micromirrors,3
1427,microorganisms,3
1428,microphone arrays,1
1429,microphones,4
1430,microprocessor chips,7
1431,microrobots,1
1432,microscopic examination,1
1433,microsensors,2
1434,microstrip antennas,1
1435,microwave propagation,1
1436,microwaves,1
1437,middleware,9
1438,military aircraft,1
1439,military applications,2
1440,military communication,1
1441,military computing,17
1442,military equipment,3
1443,military rockets,1
1444,military vehicles,1
1445,millimeter wave devices,1
1446,millimeter waves,10
1447,millimetre wave communication,5
1448,millimetre wave propagation,2
1449,millimetre wave radar,1
1450,milling,2
1451,milling machines,1
1452,mimo communication,2
1453,mimo systems,5
1454,mineral exploration,1
1455,mineralogy,1
1456,minerals,1
1457,minimisation,4
1458,mining,2
1459,mirrors,22
1460,mixing,2
1461,mobile ad hoc networks,2
1462,mobile agents,3
1463,mobile antennas,1
1464,mobile cloud computing,3
1465,mobile commerce,4
1466,mobile communication,4
1467,mobile computing,600
1468,mobile handsets,12
1469,mobile learning,42
1470,mobile radio,14
1471,mobile robots,128
1472,mobile telecommunication systems,24
1473,mobility management,8
1474,mocvd,1
1475,modal analysis,1
1476,model predictive control,1
1477,modeling languages,1
1478,models,3
1479,modernization,1
1480,modular robots,1
1481,modulation,4
1482,molecular biophysics,3
1483,molecular configurations,1
1484,molecular graphics,1
1485,molecular orbitals,1
1486,molecular physics,6
1487,molecular structure,1
1488,monitoring,4
1489,monte carlo methods,7
1490,moon,1
1491,mos devices,1
1492,mos integrated circuits,1
1493,mosfet,1
1494,mosfet devices,1
1495,motion analysis,8
1496,motion compensation,6
1497,motion control,12
1498,motion estimation,31
1499,motion measurement,2
1500,motion picture experts group standards,4
1501,motion pictures,2
1502,motion planning,5
1503,motion sensors,1
1504,motion tracking,2
1505,motivation,17
1506,motor transportation,3
1507,moulding,1
1508,mouse controllers,2
1509,multi-access systems,1
1510,multi-agent systems,23
1511,multi-robot systems,8
1512,multi-threading,7
1513,multicast communication,2
1514,multicasting,1
1515,multilayer neural networks,1
1516,multilayer perceptrons,1
1517,multilayers,1
1518,multimedia communication,8
1519,multimedia computing,29
1520,multimedia services,3
1521,multimedia signal processing,4
1522,multimedia systems,32
1523,multipath channels,1
1524,multiple access interference,2
1525,multiplying circuits,1
1526,multiprocessing systems,2
1527,multiprotocol label switching,1
1528,multipurpose robots,3
1529,multitasking,3
1530,muscle,13
1531,musculoskeletal system,2
1532,museums,71
1533,music,13
1534,musical instruments,5
1535,nasa,6
1536,national security,1
1537,natural language interfaces,1
1538,natural language processing,18
1539,natural language processing systems,2
1540,natural languages,2
1541,natural radioactivity hazards,1
1542,natural resources,1
1543,natural resources exploration,3
1544,natural resources management,2
1545,natural scenes,2
1546,natural sciences,2
1547,natural sciences computing,2
1548,naval engineering computing,1
1549,navigation,52
1550,navigation systems,13
1551,near infrared spectroscopy,1
1552,near-field communication,1
1553,nearest neighbor search,2
1554,needles,10
1555,negative bias temperature instability,1
1556,nematic liquid crystals,2
1557,network architecture,13
1558,network function virtualization,5
1559,network interfaces,1
1560,network layers,5
1561,network management,1
1562,network performance,2
1563,network protocols,2
1564,network security,9
1565,network servers,2
1566,network-on-chip,1
1567,neural net architecture,2
1568,neural networks,90
1569,neural prostheses,1
1570,neurocontrollers,2
1571,neurodegenerative diseases,4
1572,neuromuscular rehabilitation,2
1573,neurons,3
1574,neurophysiology,55
1575,neurosurgery,1
1576,newsprint,1
1577,newton method,1
1578,next generation networks,6
1579,noise abatement,1
1580,noise pollution,1
1581,nondestructive examination,2
1582,nondestructive testing,1
1583,nonlinear filters,4
1584,nonlinear optics,1
1585,nonlinear programming,9
1586,nonlinear systems,1
1587,not labeled,17
1588,notebook computers,2
1589,np-hard,1
1590,nuclear energy,1
1591,nuclear engineering computing,1
1592,nuclear fuels,1
1593,nuclear power plants,1
1594,nuclear power stations,1
1595,numerical analysis,2
1596,numerical control,2
1597,nursing,1
1598,nutrients,1
1599,nutrition,1
1600,object detection,137
1601,object recognition,75
1602,object tracking,82
1603,object-oriented databases,1
1604,object-oriented methods,1
1605,object-oriented programming,5
1606,obsolescence,1
1607,obstetrics,1
1608,occupational health,4
1609,occupational risks,2
1610,occupational safety,6
1611,occupational stress,2
1612,octrees,8
1613,ofdm modulation,2
1614,office automation,1
1615,office buildings,4
1616,offshore installations,1
1617,omnidirectional antennas,1
1618,on-the-job training,1
1619,online conferencing,1
1620,online front ends,9
1621,online systems,4
1622,ontology,17
1623,open circuit voltage,1
1624,open data,1
1625,open source software,12
1626,open systems,15
1627,operating systems,3
1628,operational amplifiers,2
1629,ophthalmic lenses,1
1630,ophthalmology,4
1631,optical arrays,6
1632,optical beam splitters,2
1633,optical character recognition,5
1634,optical collimators,2
1635,optical communication,6
1636,optical communication equipment,1
1637,optical computing,1
1638,optical correlation,1
1639,optical couplers,2
1640,optical data processing,4
1641,optical design,6
1642,optical design techniques,4
1643,optical diffusers,1
1644,optical distortion,2
1645,optical elements,2
1646,optical engineering computing,2
1647,optical fiber fabrication,1
1648,optical fibers,1
1649,optical fibre networks,1
1650,optical films,1
1651,optical flows,5
1652,optical glass,2
1653,optical images,3
1654,optical information processing,1
1655,optical instrument lenses,2
1656,optical instruments,1
1657,optical lattices,1
1658,optical links,1
1659,optical metamaterials,3
1660,optical microscopes,1
1661,optical microscopy,2
1662,optical modulation,1
1663,optical multilayers,1
1664,optical projectors,23
1665,optical properties,1
1666,optical radar,10
1667,optical receivers,1
1668,optical resolving power,3
1669,optical retarders,1
1670,optical scanners,3
1671,optical sensors,8
1672,optical signal processing,2
1673,optical switches,3
1674,optical systems,6
1675,optical tomography,4
1676,optical tracking,15
1677,optical transceivers,1
1678,optical transmitters,1
1679,optical tweezers,1
1680,optical waveguides,4
1681,optics,1
1682,optimal control,1
1683,optimization,52
1684,order picking,1
1685,order processing,1
1686,ore treatment,1
1687,organic farming,1
1688,organic light emitting diodes,5
1689,organisational aspects,3
1690,orthogonal frequency division multiplexing,3
1691,orthopedics,11
1692,orthotics,2
1693,oscilloscopes,1
1694,osmosis,2
1695,other,161
1696,outsourcing,1
1697,oximetry,1
1698,p-i-n photodiodes,1
1699,packaging,1
1700,packet switching,2
1701,paediatrics,15
1702,paint,2
1703,painting,2
1704,palaeontology,1
1705,pallets,1
1706,palmprint recognition,10
1707,paper,3
1708,paper industry,2
1709,paper making,1
1710,paper products,2
1711,paraffins,1
1712,parallel algorithms,1
1713,parallel architectures,4
1714,parallel processing,4
1715,parallel programming,1
1716,parameter estimation,8
1717,parity check codes,1
1718,parking,1
1719,partial differential equations,1
1720,partial discharges,1
1721,particle filtering,3
1722,particle swarm optimization,9
1723,passive optical networks,1
1724,patents,3
1725,patents and inventions,1
1726,path planning,23
1727,patient care,8
1728,patient diagnosis,8
1729,patient monitoring,16
1730,patient rehabilitation,70
1731,patient treatment,58
1732,pattern classification,6
1733,pattern clustering,10
1734,pattern matching,1
1735,pattern recognition,8
1736,pedestrian safety,3
1737,pedestrians,13
1738,pediatrics,1
1739,peer-to-peer computing,3
1740,performance evaluation,3
1741,permanent magnets,1
1742,personal area networks,1
1743,personal communication systems,1
1744,personal computers,6
1745,personal computing,3
1746,personal digital assistants,1
1747,personal information systems,1
1748,personnel,26
1749,personnel training,19
1750,petrochemicals,1
1751,petroleum industry,2
1752,petroleum reservoir evaluation,11
1753,phantoms,14
1754,phase locked loops,1
1755,phase matching,1
1756,phase modulation,2
1757,phase shift keying,1
1758,philosophical aspects,5
1759,photochromism,1
1760,photodetectors,1
1761,photodiodes,1
1762,photogrammetry,13
1763,photographic accessories,1
1764,photography,9
1765,photoluminescence,1
1766,photometry,1
1767,photonics,1
1768,photoresists,2
1769,photosensitivity,1
1770,photovoltaic cells,2
1771,physical therapy,2
1772,physics,1
1773,physics computing,12
1774,physics education,16
1775,physiological models,2
1776,physiology,9
1777,pickups,1
1778,piezoelectric transducers,1
1779,pipe linings,1
1780,pipeline processing,1
1781,pipeline processing systems,1
1782,pipelines,10
1783,pipes,1
1784,pistons,1
1785,pixels,22
1786,planar waveguides,2
1787,planetary rovers,1
1788,planning,5
1789,plant layout,1
1790,plant shutdowns,1
1791,plants,1
1792,plasma density,1
1793,plasma simulation,1
1794,plasma turbulence,1
1795,plastic filaments,2
1796,plates,1
1797,pneumatic actuators,2
1798,pneumatic control,1
1799,pneumatic control equipment,1
1800,pneumatic equipment,1
1801,pneumodynamics,3
1802,poisson equation,1
1803,poles,1
1804,poles and towers,1
1805,police,1
1806,police data processing,4
1807,politics,1
1808,polymers,1
1809,polynomial approximation,2
1810,polynomials,2
1811,population statistics,2
1812,portable instruments,1
1813,portals,4
1814,pose estimation,125
1815,position control,10
1816,position measurement,5
1817,positron emission tomography,3
1818,postal services,1
1819,potable water,1
1820,power aware computing,11
1821,power consumption,7
1822,power control,5
1823,power conversion,1
1824,power convertors,1
1825,power distribution,1
1826,power electronics,1
1827,power engineering,2
1828,power engineering computing,14
1829,power engineering education,4
1830,power grids,1
1831,power meters,1
1832,power overhead lines,1
1833,power plants,3
1834,power supply quality,1
1835,power transformer insulation,1
1836,precision engineering,1
1837,predictive control,1
1838,predictive control systems,1
1839,presses,1
1840,pressure measurement,1
1841,pressure sensors,3
1842,preventive maintenance,6
1843,pricing,1
1844,principal component analysis,6
1845,printed circuit boards,1
1846,printed circuit manufacture,1
1847,printed circuits,3
1848,printers,4
1849,printing,1
1850,printing presses,5
1851,prisons,1
1852,probability,10
1853,probes,3
1854,problem oriented languages,1
1855,problem solving,1
1856,process control,6
1857,process monitoring,1
1858,process planning,1
1859,processing,1
1860,procurement,1
1861,product customisation,2
1862,product design,21
1863,product development,3
1864,product life cycle management,3
1865,product quality,3
1866,production control,3
1867,production engineering computing,136
1868,production equipment,7
1869,production facilities,8
1870,production management,3
1871,production planning,2
1872,productivity,12
1873,professional aspects,3
1874,profitability,2
1875,program assemblers,1
1876,program compilers,1
1877,program debugging,6
1878,program processors,9
1879,program testing,8
1880,program visualisation,2
1881,programmable controllers,1
1882,programming,1
1883,programming environments,1
1884,programming language semantics,1
1885,programming languages,2
1886,project management,6
1887,projectiles,1
1888,projection systems,4
1889,promotion,1
1890,propellers,1
1891,property market,2
1892,proportional control systems,1
1893,prosthetics,11
1894,proteins,2
1895,protocols,9
1896,prototypes,4
1897,psychology,36
1898,psychophysiology,1
1899,public administration,4
1900,public domain software,21
1901,public health,1
1902,public policy,1
1903,public transport,1
1904,public utilities,1
1905,publishing,1
1906,pumps,1
1907,purchasing,6
1908,qr codes,10
1909,qualifications,1
1910,quality assurance,5
1911,quality control,17
1912,quality function deployment,1
1913,quality management,1
1914,quality of experience,20
1915,quality of service,59
1916,query formulation,1
1917,query processing,3
1918,question answering,1
1919,queueing networks,7
1920,queueing theory,4
1921,racing automobiles,1
1922,radar,6
1923,radar antennas,2
1924,radar clutter,1
1925,radar imaging,3
1926,radar measurement,2
1927,radar tracking,1
1928,radial basis function networks,1
1929,radiation protection,1
1930,radiation shielding,1
1931,radiation therapy,1
1932,radio,3
1933,radio access networks,15
1934,radio astronomy,1
1935,radio broadcasting,2
1936,radio communication,2
1937,radio frequency identification,1
1938,radio links,1
1939,radio navigation,1
1940,radio networks,4
1941,radio receivers,2
1942,radio transceivers,1
1943,radio waves,1
1944,radioactivity,1
1945,radiofrequency identification,5
1946,radiofrequency interconnections,1
1947,radiofrequency interference,2
1948,radiofrequency power transmission,2
1949,radiology,1
1950,radionavigation,3
1951,railroad stations,1
1952,rails,1
1953,railway communication,1
1954,rain,1
1955,random errors,1
1956,random forests,2
1957,random processes,9
1958,range finding,1
1959,rapid prototyping,4
1960,rate distortion theory,2
1961,rational functions,1
1962,ray tracing,11
1963,rayleigh fading,1
1964,rayon yarn,1
1965,real-time systems,31
1966,realistic images,7
1967,receivers,1
1968,recommender systems,14
1969,recovery,2
1970,recreational facilities,1
1971,recurrent neural nets,9
1972,recurrent neural networks,2
1973,recursive filters,1
1974,recycling,2
1975,redundant manipulators,1
1976,reengineering,1
1977,reflection,4
1978,reflectivity,1
1979,refraction,2
1980,refractive index,1
1981,regional planning,2
1982,regression analysis,24
1983,regulatory compliance,1
1984,reinforcement learning,4
1985,relational databases,1
1986,reliability,5
1987,reliability analysis,2
1988,religion,1
1989,religious buildings,1
1990,remote control,20
1991,remote sensing,11
1992,remote sensing by radar,1
1993,remotely operated vehicles,14
1994,rendering,166
1995,repair,7
1996,rescue robots,1
1997,research,1
1998,research and development,2
1999,research laboratories,1
2000,resistors,1
2001,resource allocation,41
2002,respiratory mechanics,1
2003,response time,3
2004,restoration,3
2005,resuscitation,3
2006,retail data processing,22
2007,retailing,3
2008,retrofitting,1
2009,retroreflectors,1
2010,reusability,1
2011,reverberation,3
2012,reverse engineering,1
2013,reviews,10
2014,rigid structures,1
2015,risk analysis,4
2016,risk assessment,4
2017,risk management,8
2018,risk perception,2
2019,road accidents,6
2020,road construction,1
2021,road safety,17
2022,road traffic,12
2023,road traffic control,2
2024,road vehicles,21
2025,roads and streets,7
2026,robot applications,4
2027,robot dynamics,2
2028,robot kinematics,2
2029,robot learning,1
2030,robot programming,33
2031,robot vision,90
2032,robotic arms,7
2033,robotic assembly,6
2034,robotic surgery,4
2035,robotics,81
2036,robust control,3
2037,rock mechanics,1
2038,rockets,1
2039,roofs,2
2040,rotation,2
2041,rotation measurement,1
2042,rssi,1
2043,rubber,1
2044,rural areas,6
2045,safety,4
2046,safety devices,4
2047,safety engineering,2
2048,safety factor,1
2049,safety systems,1
2050,safety-critical software,2
2051,sales,5
2052,sales management,1
2053,sampling methods,3
2054,sand,2
2055,satellite antennas,1
2056,satellite communication,1
2057,satellite imagery,1
2058,satellite navigation,4
2059,satellite telemetry,1
2060,scada systems,4
2061,scaffolds,6
2062,scalability,3
2063,scanning,5
2064,scanning antennas,1
2065,scheduling,16
2066,scheduling algorithms,3
2067,screen printing,1
2068,screws,1
2069,sea level,1
2070,sea ports,1
2071,search engines,9
2072,search problems,7
2073,security of data,23
2074,security systems,9
2075,self organizing maps,1
2076,self-healing materials,2
2077,self-organising feature maps,1
2078,semantic networks,1
2079,semantic web,9
2080,semantics,33
2081,semiconductor device manufacture,1
2082,semiconductor epitaxial layers,1
2083,semiconductor growth,1
2084,semiconductor lasers,1
2085,semiconductor quantum wells,1
2086,sensor data fusion,1
2087,sensor fusion,26
2088,sensor networks,8
2089,sensor nodes,3
2090,sensor placement,1
2091,sensors,20
2092,sensory feedback,3
2093,sensory perception,14
2094,sentiment analysis,1
2095,serious games,65
2096,servers,2
2097,service robots,6
2098,service-oriented architecture,3
2099,servomotors,1
2100,set theory,1
2101,sewage,1
2102,shape recognition,5
2103,shear deformation,1
2104,shift registers,1
2105,shipbuilding industry,2
2106,ships,6
2107,sigma-delta modulation,1
2108,sign language recognition,2
2109,signal classification,2
2110,signal denoising,1
2111,signal detection,3
2112,signal distortion,1
2113,signal encoding,4
2114,signal processing,11
2115,signal reconstruction,1
2116,signaling,1
2117,signalling protocols,1
2118,silicon,3
2119,silicon compounds,1
2120,silicon-on-insulator,2
2121,silk,1
2122,silver halides,1
2123,simulated annealing,2
2124,simulation platform,10
2125,simulators,5
2126,single photon emission computed tomography,1
2127,singular value decomposition,2
2128,sizing screens,1
2129,skin,12
2130,slam robotics,73
2131,small-to-medium enterprises,1
2132,smart antennas,1
2133,smart cities,35
2134,smart power grids,1
2135,smart sensors,1
2136,smartphones,223
2137,smoke,1
2138,smoothed particle hydrodynamics,1
2139,smoothing methods,2
2140,snow,1
2141,social aspects,6
2142,social aspects of automation,12
2143,social computing,1
2144,social networking,37
2145,social sciences,1
2146,social sciences computing,14
2147,socio-economic effects,4
2148,software agents,6
2149,software architecture,21
2150,software defined networking,4
2151,software design,14
2152,software development management,3
2153,software engineering,21
2154,software fault tolerance,2
2155,software libraries,4
2156,software maintenance,5
2157,software packages,2
2158,software performance evaluation,1
2159,software prototyping,24
2160,software quality,3
2161,software radio,3
2162,software testing,5
2163,software tools,5
2164,soils,2
2165,solar buildings,1
2166,solar cell arrays,1
2167,solar cells,1
2168,solar concentrators,1
2169,solar energy,2
2170,solar power plants,1
2171,solar system,2
2172,solid modelling,132
2173,somatosensory phenomena,1
2174,sonar,1
2175,sound recording,1
2176,sound reproduction,2
2177,source code,3
2178,source separation,4
2179,space optics,1
2180,space research,2
2181,space vehicles,2
2182,space-based radar,3
2183,spacecraft power supplies,1
2184,sparse matrices,1
2185,spatial light modulators,6
2186,spatial reasoning,1
2187,spatial variables measurement,4
2188,spatiotemporal phenomena,3
2189,speaker recognition,1
2190,specification languages,1
2191,specifications,3
2192,spectral analysis,1
2193,spectrographs,1
2194,spectroscopy,1
2195,speech,2
2196,speech communication,1
2197,speech enhancement,1
2198,speech intelligibility,2
2199,speech processing,11
2200,speech recognition,33
2201,speech synthesis,4
2202,speech-based user interfaces,5
2203,speed,2
2204,spheres,3
2205,splines,3
2206,sports,33
2207,spraying,1
2208,spreadsheet programs,1
2209,springs,3
2210,stability,1
2211,stained glass,1
2212,stairs,2
2213,standardization,1
2214,stars,3
2215,state estimation,2
2216,statistical analysis,21
2217,statistical distributions,1
2218,statistical testing,2
2219,statistical tests,1
2220,statistics,2
2221,steam,1
2222,steel,2
2223,steering,1
2224,steganography,2
2225,stem,10
2226,stereo image processing,130
2227,stereochemistry,1
2228,stereoselectivity,1
2229,stiffness,2
2230,stochastic processes,1
2231,stochastic systems,3
2232,storage as a service,1
2233,storage management,7
2234,storms,3
2235,strain gauges,2
2236,strain sensors,1
2237,strategic planning,2
2238,stray light,1
2239,street lighting,1
2240,street traffic control,22
2241,stress-strain curves,1
2242,stresses,2
2243,structural engineering computing,12
2244,structures,1
2245,student experiments,11
2246,students,64
2247,studios,5
2248,subjective testing,1
2249,subscriber loops,1
2250,substation automation,1
2251,substations,2
2252,substrates,2
2253,supercomputers,1
2254,superluminescent diodes,1
2255,superpixels,1
2256,supervised learning,2
2257,supply chain management,5
2258,supply chains,4
2259,support vector machines,14
2260,supports,1
2261,surface charging,1
2262,surface discharges,13
2263,surface properties,1
2264,surface reconstruction,4
2265,surface roughness,1
2266,surface topography,1
2267,surfaces,1
2268,surgery,111
2269,surgical equipment,10
2270,surveillance,2
2271,surveying,4
2272,surveys,44
2273,sustainable development,8
2274,swarm intelligence,1
2275,switches,1
2276,switchgear insulation,1
2277,switching substations,1
2278,synchronization,13
2279,synthetic aperture radar,1
2280,synthetic apertures,1
2281,system documentation,1
2282,system monitoring,1
2283,system stability,1
2284,system-on-chip,4
2285,systematic errors,1
2286,systems analysis,3
2287,systems engineering,5
2288,table lookup,2
2289,tactile sensors,1
2290,tall buildings,1
2291,tantalum compounds,1
2292,tar,4
2293,target tracking,17
2294,task analysis,1
2295,taxicabs,1
2296,taxonomies,3
2297,taylor series,1
2298,teacher training,2
2299,teaching,204
2300,team working,6
2301,technical drawing,1
2302,technical presentation,1
2303,technology,1
2304,technology acceptance model,3
2305,technology management,11
2306,technology transfer,4
2307,tectonics,1
2308,telecommunication computing,9
2309,telecommunication congestion control,1
2310,telecommunication control,1
2311,telecommunication engineering education,1
2312,telecommunication equipment,4
2313,telecommunication industry,1
2314,telecommunication network management,1
2315,telecommunication network reliability,3
2316,telecommunication network routing,3
2317,telecommunication network topology,3
2318,telecommunication networks,1
2319,telecommunication power management,5
2320,telecommunication repeaters,1
2321,telecommunication scheduling,6
2322,telecommunication services,5
2323,telecommunication switching,1
2324,telecommunication traffic,17
2325,teleconferencing,6
2326,telecontrol,7
2327,telemedicine,19
2328,telephone sets,6
2329,telerobotics,29
2330,television,5
2331,television broadcasting,3
2332,television displays,2
2333,television production,1
2334,teleworking,1
2335,tellurium compounds,1
2336,temperature indicating cameras,1
2337,temperature sensors,2
2338,tensile testing,1
2339,tensors,3
2340,terahertz waves,1
2341,termination of employment,1
2342,terrain mapping,3
2343,testbeds,6
2344,testing,2
2345,text analysis,16
2346,text detection,3
2347,text processing,1
2348,textbooks,3
2349,textures,30
2350,texturing,1
2351,thermal comfort,1
2352,thermal conductivity,1
2353,thermal engineering,1
2354,thermal management,1
2355,thermocouples,1
2356,thermography,4
2357,three dimensional computer graphics,63
2358,three dimensional printing,13
2359,three term control systems,2
2360,three-dimensional displays,31
2361,three-dimensional printing,9
2362,tile,1
2363,time difference of arrival,1
2364,time division multiplexing,2
2365,time measurement,2
2366,time series,2
2367,time-domain analysis,1
2368,time-of-arrival estimation,2
2369,timing circuits,7
2370,tissue,3
2371,tissue regeneration,1
2372,toeplitz matrices,1
2373,tomography,2
2374,tools,3
2375,topography,1
2376,topology,3
2377,total quality management,1
2378,touch,3
2379,touch screens,29
2380,tourism,4
2381,town and country planning,10
2382,tracking,21
2383,traffic control,1
2384,traffic engineering computing,25
2385,traffic signs,1
2386,training,4
2387,training aircraft,2
2388,trajectories,3
2389,trajectory control,5
2390,transceivers,2
2391,transcoding,1
2392,transcranial magnetic stimulation,1
2393,transducers,1
2394,transfer functions,5
2395,transform coding,1
2396,transformer substations,1
2397,transforms,9
2398,transient response,1
2399,transmission control protocol,3
2400,transmissions,2
2401,transmitters,1
2402,transparency,4
2403,transplantation,13
2404,transport protocols,10
2405,transportation,6
2406,travel industry,38
2407,trees,5
2408,triangulation,1
2409,trucks,1
2410,trusted computing,1
2411,tsunamis,1
2412,tumors,15
2413,tunnels,1
2414,turbines,1
2415,turning,1
2416,two phase flow,1
2417,two term control systems,1
2418,ubiquitous computing,56
2419,uhf integrated circuits,1
2420,ultra wideband communication,2
2421,ultra-wideband,2
2422,ultrasonic applications,4
2423,ultrasonic arrays,1
2424,ultrasonic devices,1
2425,ultrasonic imaging,1
2426,ultrasonic measurement,2
2427,ultrasonic transducers,3
2428,ultrasonics,4
2429,ultrasonography,1
2430,ultraviolet lamps,1
2431,uncertainty analysis,2
2432,underwater acoustics,1
2433,unemployment,1
2434,unmanned aerial vehicles,9
2435,unmanned vehicles,1
2436,unsupervised learning,3
2437,urban growth,3
2438,urban planning,7
2439,urban transportation,2
2440,urology,3
2441,usability engineering,4
2442,user centered design,30
2443,user experience,57
2444,user interfaces,362
2445,user manuals,2
2446,user modelling,1
2447,value engineering,1
2448,valves,2
2449,vapour phase epitaxial growth,1
2450,vectors,3
2451,vegetation,1
2452,vehicle routing,1
2453,vehicles,13
2454,vehicular ad hoc networks,3
2455,velocity measurement,1
2456,veterinary medicine,1
2457,vibration measurement,1
2458,vibrations,5
2459,video cameras,7
2460,video codecs,1
2461,video coding,20
2462,video communication,6
2463,video conferencing,3
2464,video on demand,2
2465,video recording,11
2466,video retrieval,1
2467,video signal processing,90
2468,video streaming,52
2469,video surveillance,3
2470,virtual addresses,4
2471,virtual instrumentation,3
2472,virtual machines,7
2473,virtual manufacturing,3
2474,virtual private networks,1
2475,virtual prototyping,1
2476,virtual reality languages,1
2477,virtualization,17
2478,viruses,1
2479,visibility,2
2480,visible light communication,7
2481,visible spectra,1
2482,vision,19
2483,vision aids,3
2484,vision defects,10
2485,visual communication,37
2486,visual databases,3
2487,visual evoked potentials,17
2488,visual languages,5
2489,visual perception,31
2490,visual programming,6
2491,visual servoing,6
2492,visualization,74
2493,vlsi circuits,1
2494,vocabulary,6
2495,vocational training,3
2496,voice activity detection,1
2497,voice communication,1
2498,volcanoes,1
2499,volcanology,2
2500,voltage dividers,1
2501,voltage-controlled oscillators,1
2502,volume measurement,1
2503,volume rendering,1
2504,vortices,1
2505,walls,4
2506,warehouse automation,4
2507,warehouses,2
2508,warehousing,3
2509,watches,2
2510,water levels,1
2511,water quality,2
2512,water resources,1
2513,water supply,1
2514,water treatment,1
2515,watersheds,1
2516,wave distortion,1
2517,wave functions,1
2518,waveform analysis,2
2519,waveguides,2
2520,wavelet transforms,7
2521,weapons,4
2522,wear,1
2523,wear of materials,3
2524,wearable computers,100
2525,wearable robots,3
2526,wearable sensors,2
2527,wearable technology,28
2528,web browsers,2
2529,web design,1
2530,web services,26
2531,websites,22
2532,welding,1
2533,welds,1
2534,well stimulation,1
2535,well testing,1
2536,wheelchairs,10
2537,wheels,2
2538,white noise,1
2539,wi-fi,4
2540,wide area networks,4
2541,wide band gap semiconductors,1
2542,wiener filters,1
2543,wind,1
2544,wind power,1
2545,wind power plants,2
2546,wind turbines,1
2547,windows,1
2548,windshields,4
2549,wire pointing,3
2550,wireless channels,7
2551,wireless lan,25
2552,wireless mesh networks,1
2553,wireless networks,11
2554,wireless sensor networks,9
2555,wood,2
2556,workflow management software,1
2557,x rays,1
2558,xml,2
2559,zero gravity experiments,1
2560,zoology,6
